id,sentences,label,sentences_tokens,cuis
0,"86 ||| DISCUSSION ||| 20.6 ||| Moreover, if we assumed that all the cases in which operative delivery was indicated had actually occurred in accordance with ST-segment analysis guidelines and that 5 cases of the primary outcome had been avoided, the incidence of the primary outcome would have remained similar in the two groups.",O,assumed operative delivery occurred st-segment analysis guidelines 5 primary outcome avoided incidence primary outcome remained,C3242379|C1882154|C0011209|C1709305|C0429029|C0002778|C0162791|G0000000|C0205225|C1274040|G0000000|C0021149|C0205225|C1274040|G0000000
1,53 ||| Author Manuscript ||| 12.5 ||| Continuous variables were compared with the use of the Wilcoxon rank-sum test.,N,continuous variables compared wilcoxon rank-sum test,C0549178|C0439828|C1707455|G0000000|C0699794|C0022885
2,13 ||| METHODS ||| 2.4 ||| Written informed consent was obtained from all participants before participation.,N,written informed consent participants participation,C0043266|C1522154|C1511481|C0679646|C0679823
3,"35 ||| Author Manuscript ||| 6.7 ||| Management of the labor and delivery for women in this group was dictated by the STsegment analysis guidelines (Table 1, and Fig.",O,management labor delivery women dictated stsegment analysis guidelines table 1 fig,C0001554|C0022864|C0011209|C0043210|C1548384|G0000000|C0002778|C0162791|C0039224|G0000000|C0349966
4,80 ||| Author Manuscript ||| 19.1 ||| PROTOCOL ADHERENCE,N,protocol adherence,C0442711|C1510802
5,"81 ||| DISCUSSION ||| 20.1 ||| This large, randomized trial showed that in a U.S. population of pregnant women in whom labor and delivery were managed according to U.S. practices, ST-segment analysis as an adjunct to continuous electronic fetal monitoring neither improved neonatal outcomes nor reduced the rates of cesarean delivery or operative vaginal delivery.",O,randomized trial population pregnant women labor delivery managed practices st-segment analysis adjunct continuous electronic fetal monitoring improved neonatal outcomes reduced rates cesarean delivery operative vaginal delivery,C0034656|C0008976|C0032659|C0549206|C0043210|C0022864|C0011209|C1273870|C0237607|C0429029|C0002778|G0000000|C0549178|C0013850|C0015965|C0150369|C0184511|C1552240|C1274040|C0392756|C0871208|C3841297|C0011209|C1882154|C0042232|C0011209
6,41 ||| Author Manuscript ||| 8.3 ||| All enrolled women and their infants were followed until hospital discharge.,P,enrolled women infants hospital discharge,G0000000|C0043210|C0021270|C0019994|C0012621
7,"56 ||| Author Manuscript ||| 12.8 ||| For all secondary outcomes, a nominal P value of less than 0.05, without adjustment for multiple comparisons, was considered to indicate statistical significance.",N,secondary outcomes nominal 0 05 adjustment multiple comparisons considered statistical significance,C0027627|C1274040|G0000000|G0000000|C0450371|C0376209|C0439064|C1707455|C0750591|C0038215|C0237881
8,"83 ||| DISCUSSION ||| 20.3 ||| In the open group, 5.9% of cesarean deliveries occurred when ST-segment analysis guidelines indicated that labor should continue (Table S2 in the Supplementary Appendix).",P,5 9% cesarean deliveries occurred st-segment analysis guidelines labor continue table s2 supplementary appendix,G0000000|G0000000|C3841297|C0011209|C1709305|C0429029|C0002778|C0162791|C0022864|C0549178|C0039224|C1519428|G0000000|C0003617
9,34 ||| Author Manuscript ||| 6.6 ||| S31 monitors in the open mode displayed ECG ST-segment information intended for use when uncertain fetal heart-rate patterns were detected.,N,s31 monitors mode displayed ecg st-segment intended uncertain fetal heart-rate patterns detected,G0000000|C0181904|C1513371|C0870432|C1623258|C0429029|C1283828|C0087130|C0015965|C0018810|C0449774|C0442726
