id,sentences,label,sentences_tokens,cuis
0,36 ||| Discussion ||| 4.3 ||| Each patient was questioned in detail and examined thoroughly.,N,patient questioned detail examined,C0030705|C1522634|C1522508|C0332128
1,"9 ||| Introduction ||| 1.8 ||| The induction delivery interval, maternal and fetal outcome and need for augmentation of labour in these two groups were also compared.",N,induction delivery interval maternal fetal outcome augmentation labour compared,C0205263|C0011209|C1272706|C2347083|C0015965|C1274040|C1293122|C0022864|C1707455
2,27 ||| Inclusion Criteria ||| 3.6 ||| Singleton viable pregnancy 4.,N,singleton viable pregnancy 4,C0481462|C0443348|C0032961|G0000000
3,47 ||| Discussion ||| 4.14 ||| These can not be attributed to failure of drug.,N,attributed failure drug,C0449234|C0231174|C0013227
4,51 ||| Discussion ||| 4.18 ||| None of the patients in vaginal group had LSCS for failed induction.,I,patients vaginal lscs failed induction,C0030705|C0042232|C1332110|C0231175|C0205263
5,29 ||| Inclusion Criteria ||| 3.8 ||| 5.,N,5,G0000000
6,43 ||| Discussion ||| 4.10 ||| Mean induction delivery interval for successful outcome was 15.24 ± 3.47 h in oral group and 1.74 ± 2.60 h in oral group and 12.74 ± 2.60 h in vaginal group.,O,induction delivery interval successful outcome 15 24 3 47 oral 1 74 2 60 oral 12 74 2 60 vaginal,C0205263|C0011209|C1272706|C0597535|C1274040|C0450371|C0450371|G0000000|C0450371|C0442027|G0000000|C0450371|G0000000|C0450371|C0442027|C0450371|C0450371|G0000000|C0450371|C0042232
7,"33 ||| Inclusion Criteria ||| 3.12 ||| The patients were randomly allocated to either Group A, (n = 100) who received oral tablet misoprostol 50 mcg 6 hourly for maximum four doses or Group B, (n = 100) who received vaginal tablet misoprostol 50 mcg 6 hourly for maximum four doses.",I,patients randomly allocated = 100 received oral tablet misoprostol 50 mcg 6 hourly maximum doses = 100 received vaginal tablet misoprostol 50 mcg 6 hourly maximum doses,C0030705|G0000000|G0000000|G0000000|C1442061|C1514756|C0442027|C0039225|C0085174|C0450371|C0439211|G0000000|C0558292|C0806909|C0178602|G0000000|C1442061|C1514756|C0042232|C0039225|C0085174|C0450371|C0439211|G0000000|C0558292|C0806909|C0178602
8,8 ||| Introduction ||| 1.7 ||| The purpose of this study was to compare the efficacy and safety of oral versus vaginal misoprostol for induction of labour in the equivalent dosage of 50 mcg 6 hourly.,P,purpose study compare efficacy safety oral versus vaginal misoprostol induction labour equivalent dosage 50 mcg 6 hourly,C1285529|C0557651|C1707455|C1280519|C0036043|C0442027|G0000000|C0042232|C0085174|C0205263|C0022864|C0205163|C0178602|C0450371|C0439211|G0000000|C0558292
9,13 ||| Materials and Methods ||| 2.4 ||| These patients were administered further doses of misoprostol according to the protocol.,N,patients administered doses misoprostol protocol,C0030705|C1521801|C0178602|C0085174|C0442711
