id,sentences,label,sentences_tokens,cuis
0,"8 |||  ||| 0.8 ||| The total incidence of bleeding events was 25% and 19% in the dAPT and aspirin-monotherapy groups, respectively (relative risk 1.34, 95% confidence interval 0.80 to 2.23, p [ 0.33).",O,total incidence bleeding events 25% 19% dapt aspirin-monotherapy relative risk 1 34 95% confidence interval 0 80 2 23 0 33,C0439175|C0021149|C0019080|C0441471|C0450371|C0450371|C0634829|C0004057|C0080103|C0035647|G0000000|C0450371|C0450371|C0237529|C1272706|G0000000|C0450371|G0000000|C0450371|G0000000|C0450371
1,55 |||  ||| 0.55 ||| Similar incidences of post-CABG aspirin resistance were previously reported.,N,incidences post-cabg aspirin resistance reported,C0021149|C0687676|C0004057|C0237834|C0684224
2,63 |||  ||| 0.63 ||| Our study has significant limitations.,N,study limitations,C0557651|C0449295
3,"10 |||  ||| 0.10 ||| In conclusion, the addition of clopidogrel in patients found to be aspirin resistant after coronary artery bypass grafting did not reduce the incidence of adverse events, nor did it increase the number of recorded bleeding events.",O,conclusion addition clopidogrel patients aspirin resistant coronary artery bypass grafting reduce incidence adverse events increase recorded bleeding events,C1707478|C0332287|C0070166|C0030705|C0004057|C0332325|C0018787|C0003842|C0741847|C0332835|G0000000|C0021149|G0000000|C0441471|C0442805|C0034869|C0019080|C0441471
4,29 |||  ||| 0.29 ||| The frequency of individual MACCE components was not affected by the antiplatelet management strategy (Table 3).,N,frequency individual macce components antiplatelet management strategy table 3,C0376249|C0027361|G0000000|C0449432|G0000000|C0001554|C0679199|C0039224|G0000000
5,19 |||  ||| 0.19 ||| There were no differences in preoperative platelet aggregability between the groups (Table 1).,O,differences preoperative platelet aggregability table 1,C1705241|C0445204|C0005821|G0000000|C0039224|G0000000
6,35 |||  ||| 0.35 ||| A post hoc analysis excluding patients requiring anticoagulation during the follow-up period was also performed.,O,post hoc analysis excluding patients requiring anticoagulation follow-up period performed,C0687676|G0000000|C0002778|C0332196|C0030705|G0000000|C0003281|C0589120|C0439531|C0884358
7,43 |||  ||| 0.43 ||| Similar bleeding rates were noted in all other studied subgroups (all one-and two-tailed p >0.05).,O,bleeding rates studied subgroups one-and two-tailed 0 05,C0019080|C0871208|C0557651|C1079230|C0205447|C0205448|G0000000|C0450371
8,"39 |||  ||| 0.39 ||| Analogously, patients with a body mass index >30 kg/m 2 were more likely to benefit from platelet inhibition with clopidogrel on the background of aspirin therapy in the prevention of the composite adverse outcome.",O,analogously patients body mass 30 kg/m 2 benefit platelet inhibition clopidogrel background aspirin therapy prevention composite adverse outcome,G0000000|C0030705|C0242821|C0577559|C0450371|C1532718|G0000000|C0814225|C0005821|C0021467|C0070166|C1706907|C0004057|C0039798|C0199176|C0205199|G0000000|C1274040
9,"14 |||  ||| 0.14 ||| Approximately, 3/4 of the patients were men, and the majority of them had three-vessel disease, which is representative of the contemporary cardiac surgical practice.",N,3/4 patients majority three-vessel disease representative contemporary cardiac surgical practice,G0000000|C0030705|C0680220|C4037955|C0012634|C1882932|G0000000|C0018787|C0543467|C0237607
