id,sentences,label,sentences_tokens,cuis
0,18 ||| Introduction ||| 1.16 ||| Randomisation and masking,N,randomisation masking,C0034656|C0150112
1,48 ||| Statistical analysis ||| 3.15 ||| All authors had full access to all the data in the study and had fi nal responsibility for the decision to submit for publication.,N,authors access data study fi nal responsibility decision submit publication,C3812881|C0444454|C1511726|C0557651|C4050619|G0000000|C0678341|C0679006|C1515023|C0034036
2,70 ||| Results ||| 4.21 ||| Most treatment-emergent adverse events were judged to be mild or moderate in severity.,N,treatment-emergent adverse events judged mild moderate severity,C0039798|G0000000|C0441471|C0221191|C2945599|C0205081|C0439793
3,"11 ||| Introduction ||| 1.9 ||| Participants were randomly assigned (2:2:2:2:2:2:2:1) to 4 weeks of double-blind treatment with a nebivolol and valsartan fi xed-dose combination (5 and 80 mg/day, 5 and 160 mg/day, or 10 and 160 mg/day), nebivolol monotherapy (5 mg/day or 20 mg/day), valsartan monotherapy (80 mg/day or 160 mg/day), or placebo.",I,participants randomly assigned 2 2 2 2 2 2 2 1 4 weeks double-blind treatment nebivolol valsartan fi xed-dose combination 5 80 mg/day 5 160 mg/day 10 160 mg/day nebivolol monotherapy 5 mg/day 20 mg/day valsartan monotherapy 80 mg/day 160 mg/day placebo,C0679646|G0000000|C1516050|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0439230|C0013072|C0039798|C0068475|C0216784|C4050619|C0178602|C0205195|G0000000|C0450371|C0439422|G0000000|C1442061|C0439422|C0450371|C1442061|C0439422|C0068475|G0000000|G0000000|C0439422|C0450371|C0439422|C0216784|G0000000|C0450371|C0439422|C1442061|C0439422|C0032042
4,78 ||| Results ||| 4.29 ||| Comparison between a fi xed-dose combination and the highest approved doses of the monotherapy components is a regulatory requirement for assessment of effi cacy and safety.,N,comparison fi xed-dose combination approved doses monotherapy components regulatory requirement assessment effi cacy safety,C1707455|C4050619|C0178602|C0205195|C0205540|C0178602|G0000000|C0449432|C0220905|C1514873|C1261322|G0000000|C1419788|C0036043
5,58 ||| Results ||| 4.9 ||| The mean diff erence in systolic blood pressure between baseline and week 8 ranged from -17·7 mm Hg (SD 15·3)   for the 10 and 160 mg/day fi xed-dose combination to −17·8 mm Hg (15·8) for the 20 and 320 mg/day fi xeddose combination; from -14·2 mm Hg (14·8) for nebivolol 10 mg/day to −15·1 mm Hg (16·5) for nebivolol 40 mg/day; and from -14·2 mm Hg (14·4) for valsartan 160 mg/day to −14·8 mm Hg (15·1) for valsartan 320 mg/day (fi gure 2B).,I,diff erence systolic blood pressure baseline week 8 ranged -177 mm hg sd 153 10 160 mg/day fi xed-dose combination 178 mm hg 158 20 320 mg/day fi xeddose combination -142 mm hg 148 nebivolol 10 mg/day 151 mm hg 165 nebivolol 40 mg/day -142 mm hg 144 valsartan 160 mg/day 148 mm hg 151 valsartan 320 mg/day fi gure 2b,G0000000|G0000000|C0039155|C0005767|C0033095|C0168634|C0332174|G0000000|C1514721|C1442061|G0000000|C0025424|C2699239|C1442061|C0450371|C1442061|C0439422|C4050619|C0178602|C0205195|C1442061|G0000000|C0025424|C1442061|C0450371|C1442061|C0439422|C4050619|G0000000|C0205195|C1442061|G0000000|C0025424|C1442061|C0068475|C0450371|C0439422|C1442061|G0000000|C0025424|C1442061|C0068475|C0450371|C0439422|C1442061|G0000000|C0025424|C1442061|C0216784|C1442061|C0439422|C1442061|G0000000|C0025424|C1442061|C0216784|C1442061|C0439422|C4050619|G0000000|C1420850
6,"59 ||| Results ||| 4.10 ||| At week 8, the fi xed-dose combination 20 and 320 mg/day group had signifi cantly greater reductions in systolic blood pressure from baseline than both nebivolol 40 mg/day (p=0·001) and valsartan 320 mg/day (p=0·0005; primary statistical comparisons); all other comparisons were also signifi cant, favouring the fi xed-dose combinations (all p<0·01).",O,week 8 fi xed-dose combination 20 320 mg/day signifi cantly reductions systolic blood pressure baseline nebivolol 40 mg/day p=0001 valsartan 320 mg/day p=00005 primary statistical comparisons comparisons signifi favouring fi xed-dose combinations p<001,C0332174|G0000000|C4050619|C0178602|C0205195|C0450371|C1442061|C0439422|G0000000|G0000000|C0301630|C0039155|C0005767|C0033095|C0168634|C0068475|C0450371|C0439422|C0369773|C0216784|C1442061|C0439422|C0369773|C0205225|C0038215|C1707455|C1707455|G0000000|G0000000|C4050619|C0178602|C0453882|C0369773
7,"96 ||| Results ||| 4.47 ||| A Diastolic blood pressure, baseline to week 8 (primary endpoint) B Systolic blood pressure, baseline to week 8 FDCFigure 2 : Changes in trough seated diastolic and systolic blood pressure from baseline to week 8 and visit by visit",I,diastolic blood pressure baseline week 8 primary endpoint systolic blood pressure baseline week 8 fdcfigure 2 trough seated diastolic systolic blood pressure baseline week 8 visit visit,C0012000|C0005767|C0033095|C0168634|C0332174|G0000000|C0205225|C2349179|C0039155|C0005767|C0033095|C0168634|C0332174|G0000000|G0000000|G0000000|C0444506|C0277814|C0012000|C0039155|C0005767|C0033095|C0168634|C0332174|G0000000|C0545082|C0545082
8,68 ||| Results ||| 4.19 ||| Findings from an exploratory post-hoc assessment suggest that the signifi cant interactions associated with the Hispanic ethnicity and age group may have been driven by a higher placebo response among Hispanics and those at least 65 years of age (fi gure 5).,N,findings exploratory post-hoc assessment signifi interactions hispanic ethnicity age driven placebo response hispanics 65 age fi gure 5,C2607943|G0000000|C0687676|C1261322|G0000000|C1704675|C0086409|C0015031|C0001779|C0013126|C0032042|C0871261|C0086409|C0450371|C0001779|C4050619|G0000000|G0000000
9,"13 ||| Introduction ||| 1.11 ||| Findings are reported according to the fi nal dose, unless stated otherwise.",N,findings reported fi nal dose stated,C2607943|C0684224|C4050619|G0000000|C0178602|C1301808
