id,sentences,label,sentences_tokens,cuis
0,"116 ||| ACKNOWLEDGMENTS ||| 5.4 ||| Chul Joong Lee was responsible for the conception, design, interpretation of data, drafting, revising and final approval of the article.",N,chul joong lee responsible conception design interpretation data drafting revising final approval article,G0000000|G0000000|G0000000|C1273518|C0009637|C1707689|C0459471|C1511726|C1547277|C1527075|C0205088|C0205540|C1706852
1,22 ||| PATIENTS AND METHODS ||| 1.6 ||| Patients with a history of hypertension were included in the study only if confirmed to be of medically well-controlled status with blood pressure Ͻ140/90 mm Hg with or without anti-hypertensive medication.,P,patients history hypertension included study confirmed medically well-controlled status blood pressure 140/90 mm hg anti-hypertensive medication,C0030705|C0019664|C0020538|C0332257|C0557651|C0521093|G0000000|C3853142|C0449438|C0005767|C0033095|C1442061|G0000000|C0025424|C0003364|C0013227
2,"99 ||| DISCUSSION ||| 3.23 ||| Because the literature reports a hydromorphone-to-morphine equianalgesic potency of 1:5 to 1:7, 12,13 a conversion ratio of 1:7 was used to select 0.03 mg/kg of hydromorphone.",O,literature reports hydromorphone-to-morphine equianalgesic potency 1 5 1 7 12 13 conversion ratio 1 7 select 0 03 mg/kg hydromorphone,C0023866|C0684224|C0012306|G0000000|C3245505|G0000000|G0000000|G0000000|G0000000|C0450371|C0450371|C0439836|C0456603|G0000000|G0000000|C1707391|G0000000|C0450371|C0439272|C0012306
3,14 |||  ||| 0.14 ||| Opioid receptors are known to be present in peripheral sensory nerve terminals as well as in the dorsal root ganglion and the central terminal of primary afferent nerves.,N,opioid receptors peripheral sensory nerve terminals dorsal root ganglion central terminal primary afferent nerves,C0242402|C0597357|C0205100|C0445254|C0027740|C0205088|C0205095|C0040452|C0017067|C0205099|C0205088|C0205225|C0205115|C0027740
4,"107 ||| DISCUSSION ||| 3.31 ||| Although withdrawal movement occurred significantly more in patients in the saline group, it did not cause severe adverse outcomes such as loss of intravenous cannulation, prolongation of intubation time, or loss of correct endotracheal tube placement.",I,withdrawal movement occurred patients saline severe adverse outcomes loss intravenous cannulation prolongation intubation time loss correct endotracheal tube placement,C2349954|C0026649|C1709305|C0030705|C0036082|C0205082|G0000000|C1274040|C1517945|C0348016|C0917707|C0439590|C0021925|C0040223|C1517945|C2349182|C0599554|C0175730|C0441587
5,"121 ||| ACKNOWLEDGMENTS ||| 5.9 ||| Woo Seog Sim was responsible for the conception, design, interpretation of data, drafting, revising and final approval of the article.",N,woo seog sim responsible conception design interpretation data drafting revising final approval article,G0000000|G0000000|C1420068|C1273518|C0009637|C1707689|C0459471|C1511726|C1547277|C1527075|C0205088|C0205540|C1706852
6,"8 |||  ||| 0.8 ||| After loss of consciousness, rocuronium 0.6 mg/kg was injected and immediate withdrawal movements were recorded.",I,loss consciousness rocuronium 0 6 mg/kg injected withdrawal movements recorded,C1517945|C0009791|C0209337|G0000000|G0000000|C0439272|C1720154|C2349954|C0026649|C0034869
7,"52 ||| Statistical Analysis ||| 2.3 ||| Patient characteristics and intravenous cannulation sites were compared using ␹ 2 test, Fisher exact test, Kruskal-Wallis test, or 1-way ANOVA where appropriate.",N,patient characteristics intravenous cannulation sites compared 2 test fisher exact test kruskal-wallis test 1-way anova,C0030705|C1521970|C0348016|C0917707|C0205145|C1707455|G0000000|C0022885|C0325045|C2828393|C0022885|G0000000|C0022885|G0000000|G0000000
8,31 ||| PATIENTS AND METHODS ||| 1.15 ||| Premedication was not administered before surgery.,N,premedication administered surgery,C0033045|C1521801|C0038894
9,"101 ||| DISCUSSION ||| 3.25 ||| Second, the duration of hemodynamic monitoring was not long enough to fully evaluate the effects of hydromorphone on hemodynamic stability.",N,duration hemodynamic monitoring evaluate effects hydromorphone hemodynamic stability,C0449238|C0019010|C0150369|C0220825|C1280500|C0012306|C0019010|C0205360
10,27 ||| PATIENTS AND METHODS ||| 1.11 ||| The anesthesiologist (S.Y.L.,N,anesthesiologist,C0334910
11,104 ||| DISCUSSION ||| 3.28 ||| This study was designed deliberately to turn sevoflurane on after rocuronium injection to rule out any potential confounding effect of sevoflurane on withdrawal movements.,I,study designed deliberately sevoflurane rocuronium injection rule potential confounding sevoflurane withdrawal movements,C0557651|C1707689|G0000000|C0074414|C0209337|C0021485|C0805874|C3245505|G0000000|C0074414|C2349954|C0026649
