id,sentences,label,sentences_tokens,cuis
0,18 ||| METHODS ||| 1.4 ||| The aim of the current secondary analysis was to evaluate if the initial benefit seen with 6 months of dual antiplatelet therapy compared to aspirin monotherapy would persist after discontinuation of clopidogrel.,P,aim current secondary analysis evaluate initial benefit 6 months dual antiplatelet therapy compared aspirin monotherapy persist discontinuation clopidogrel,C1947946|C0521116|C0027627|C0002778|C0220825|C0205265|C0814225|G0000000|C0439231|C1554184|G0000000|C0039798|C1707455|C0004057|G0000000|G0000000|C0457454|C0070166
1,"65 ||| RESULTS ||| 3.21 ||| This effect, however, seems to disappear after cessation of clopidogrel.",I,disappear cessation clopidogrel,G0000000|C1880019|C0070166
2,23 ||| METHODS ||| 1.9 ||| There was no limitation on the lesion length.,O,limitation lesion length,C0449295|C0221198|C1444754
3,92 ||| Conclusion ||| 5.3 ||| Further prospective trials are required in order to determine the optimal duration of dual antiplatelet therapy.,P,prospective trials required determine optimal duration dual antiplatelet therapy,C0023981|C0008976|C1514873|G0000000|C2698651|C0449238|C1554184|G0000000|C0039798
4,"75 ||| RESULTS ||| 3.31 ||| In MIRROR, no drug-eluting stents were placed, so this was not an issue in this study.",O,mirror drug-eluting stents issue study,C0181868|C0013227|C0038257|C0033213|C0557651
5,10 |||  ||| 0.10 ||| J Endovasc Ther.,N,endovasc ther,G0000000|G0000000
6,63 ||| RESULTS ||| 3.19 ||| Our results are in line with the hypothesis of a rebound effect with hyperthrombotic activity after cessation of antiplatelet therapy.,I,hypothesis rebound hyperthrombotic activity cessation antiplatelet therapy,C1512571|G0000000|G0000000|C0205177|C1880019|G0000000|C0039798
7,"11 |||  ||| 0.11 ||| Thus, reinterventions are often necessary in endovascularly treated patients with peripheral artery disease.",N,reinterventions endovascularly treated patients peripheral artery disease,G0000000|G0000000|C1522326|C0030705|C0205100|C0003842|C0012634
8,31 ||| METHODS ||| 1.17 ||| Endpoints and Extended Follow-up,N,endpoints extended follow-up,C2349179|C0231448|C0589120
9,32 ||| METHODS ||| 1.18 ||| Primary endpoints were the concentration of platelet activation markers using the Chandler-Loop vessel model and the rate of clopidogrel resistance.,I,primary endpoints concentration platelet activation markers chandler-loop vessel model rate clopidogrel resistance,C0205225|C2349179|C0004268|C0005821|C1879547|C0005516|C0445022|C0005847|C3161035|C0871208|C0070166|C0237834
10,59 ||| RESULTS ||| 3.15 ||| There was no longer a significant difference in TLR rates at 12 months.,N,difference tlr rates 12 months,C1705241|G0000000|C0871208|C0450371|C0439231
11,52 ||| RESULTS ||| 3.8 ||| Kaplan-Meier estimates of TLR at 6 and 12 months are shown in Figure 1A.,N,kaplan-meier estimates tlr 6 12 months figure 1a,G0000000|C0750572|G0000000|G0000000|C0450371|C0439231|G0000000|C1420849
12,"56 ||| RESULTS ||| 3.12 ||| Causes of death were sepsis, myocardial infarction, and heart failure.",N,death sepsis myocardial infarction heart failure,C0011065|C0036690|C0027061|C0021308|C0018787|C0231174
