id,sentences,label,sentences_tokens,cuis
0,"45 ||| METHODS ||| 2.35 ||| Adverse events were recorded in the study period and included admissions for MI, progressive angina, decompensated congestive heart failure, severe bleeding, new malignant disease and performance of PCI.",P,adverse events recorded study period included admissions mi progressive angina decompensated congestive heart failure severe bleeding malignant disease performance pci,G0000000|C0441471|C0034869|C0557651|C0439531|C0332257|C0184666|C3810814|C0205329|C0002962|C0205434|C0742742|C0018787|C0231174|C0205082|C0019080|C0205282|C0012634|C0597198|C4049621
1,51 ||| METHODS ||| 2.41 ||| Telephone calls were made at 4 and 5 months.,I,telephone calls 4 5 months,C0039457|C0679006|G0000000|G0000000|C0439231
2,98 ||| DISCUSSION ||| 6.20 ||| Feasible solutions to overcome this have not yet been identified.,N,feasible solutions overcome identified,G0000000|C0037633|C2983310|C0205396
3,94 ||| DISCUSSION ||| 6.16 ||| in exercise capacity at 12 months follow-up.,O,exercise capacity 12 months follow-up,C0015259|C1516240|C0450371|C0439231|C0589120
4,126 ||| DISCUSSION ||| 6.48 ||| Larger trials of unselected older patients are needed in order to confirm our findings and ways to overcome the barriers for adherence to exercise training has to be established.,O,larger trials unselected patients confirm findings overcome barriers adherence exercise training established,C0549177|C0008976|G0000000|C0030705|C0521093|C2607943|C2983310|C1706912|C1510802|C0015259|C0040607|C0443211
5,"18 ||| METHODS ||| 2.8 ||| At the first visit in the Rehabilitation Unit, patients were invited to participate in the previously mentioned RCT comparing home-based CR with centrebased CR, 10 or as an alternative encouraged to participate in the centre-based CR programme (outside the study).",I,visit rehabilitation unit patients invited participate mentioned rct comparing home-based cr centrebased cr 10 alternative encouraged participate centre-based cr programme study,C0545082|C0034991|C0439148|C0030705|G0000000|G0000000|G0000000|G0000000|C1707455|C0442519|C0201975|G0000000|C0201975|C0450371|C1523987|G0000000|G0000000|C0205099|C0201975|C1709697|C0557651
6,"59 ||| STATISTICAL ANALYSIS ||| 4.4 ||| We did not adjust the significance levels for multiple testing, since such an adjustment is a too conservative test to perform, when data are positively correlated, as in this study.",O,adjust significance levels multiple testing adjustment conservative test perform data positively correlated study,G0000000|C0237881|C0441889|C0439064|C0039593|C0376209|G0000000|C0022885|C0884358|C1511726|G0000000|C1707520|C0557651
7,70 ||| RESULTS ||| 5.9 ||| EXERCISE CAPACITY,O,exercise capacity,C0015259|C1516240
8,86 ||| DISCUSSION ||| 6.8 ||| This could also have been the case in our study.,N,study,C0557651
9,121 ||| DISCUSSION ||| 6.43 ||| The study found that elderly cardiac patients who declined participation in centre-based CR had high level of comorbidity and low exercise capacity.,O,study elderly cardiac patients declined participation centre-based cr level comorbidity low exercise capacity,C0557651|C0001792|C0018787|C0030705|G0000000|C0679823|C0205099|C0201975|C0441889|C0009488|C0205251|C0015259|C1516240
10,"109 ||| DISCUSSION ||| 6.31 ||| Our finding is in concordance with previous studies who found that older age, high burden of comorbidity and low level of exercise capacity was negatively correlated with participation rate in centre-based CR programmes.",O,finding concordance previous studies age burden comorbidity low level exercise capacity negatively correlated participation rate centre-based cr programmes,C0037088|C0680240|C0205156|C0947630|C0001779|C2828008|C0009488|C0205251|C0441889|C0015259|C1516240|G0000000|C1707520|C0679823|C0871208|C0205099|C0201975|G0000000
11,"2 ||| INTRODUCTION ||| 1.2 ||| The centre-based programmes are the cornerstone in the evidence of CR, with meta-analysis showing an approximately 20% reduction in all-cause and cardiac mortality and 17% reduction in re-infarction rate among patients who participated in the programmes.",O,centre-based programmes cornerstone evidence cr meta-analysis 20% reduction all-cause cardiac mortality 17% reduction re-infarction rate patients participated programmes,C0205099|G0000000|G0000000|C3887511|C0201975|C0282458|C0450371|C0301630|C0015127|C0018787|C0026565|C0450371|C0301630|C0556581|C0871208|C0030705|G0000000|G0000000
