id,sentences,label,sentences_tokens,cuis
0,"10 |||  ||| 0.10 ||| There was no significant difference between the groups with respect to the number of women who delivered within 24 hours or who required oxytocin augmentation of labour, the mode of delivery, and neonatal outcomes (P > 0 .05).",N,difference respect women delivered 24 hours required oxytocin augmentation labour mode delivery neonatal outcomes 0 05,C1705241|C0679133|C0043210|C1705822|C0450371|C0439227|C1514873|C0030095|C1293122|C0022864|C1513371|C0011209|C1552240|C1274040|G0000000|C0450371
1,7 |||  ||| 0.7 ||| Résumé Objectifs : Évaluer et comparer l'efficacité et l'innocuité de 50 µg de misoprostol par voie orale et de 25 µg de misoprostol par voie intravaginale pour le déclenchement du travail à terme.,N,rsum objectifs valuer comparer lefficacit linnocuit de 50 de misoprostol par voie orale de 25 de misoprostol par voie intravaginale pour le dclenchement du travail terme,G0000000|G0000000|C0401806|G0000000|G0000000|G0000000|C0011198|C0450371|C0011198|C0085174|C1417826|G0000000|C2333746|C0011198|C0450371|C0011198|C0085174|C1417826|G0000000|G0000000|G0000000|C0023190|G0000000|C0011535|G0000000|G0000000
2,"61 ||| METHODS ||| 3.9 ||| Cardiotocography was instituted before induction, and was repeated before each insertion of misoprostol and then intermittently during labour.",N,cardiotocography instituted induction repeated insertion misoprostol intermittently labour,C0007208|C0021622|C0205263|C0205341|C0021107|C0085174|G0000000|C0022864
3,6 |||  ||| 0.6 ||| Time to delivery and outcome data for each group were compared.,O,time delivery outcome data compared,C0040223|C0011209|C1274040|C1511726|C1707455
4,"36 |||  ||| 0.36 ||| Conclusion : Le misoprostol administré par voie orale à raison  de 50 µg toutes les quatre heures, jusqu'à un maximum de  cinq doses, présente le potentiel de déclencher le travail de façon  tout aussi sûre et efficace que le misoprostol administré par voie  vaginale à raison de 25 µg toutes les quatre heures .",O,conclusion le misoprostol administr par voie orale raison de 50 toutes les quatre heures jusqu maximum de cinq doses prsente le potentiel de dclencher le travail de faon tout aussi sre efficace le misoprostol administr par voie vaginale raison de 25 toutes les quatre heures,C1707478|C0023190|C0085174|G0000000|C1417826|G0000000|C2333746|G0000000|C0011198|C0450371|G0000000|C0227192|G0000000|G0000000|G0000000|C0806909|C0011198|G0000000|C0178602|G0000000|C0023190|G0000000|C0011198|G0000000|C0023190|G0000000|C0011198|G0000000|G0000000|G0000000|G0000000|G0000000|C0023190|C0085174|G0000000|C1417826|G0000000|G0000000|G0000000|C0011198|C0450371|G0000000|C0227192|G0000000|G0000000
5,145 ||| ACKNOWLEDGEMENTS ||| 6.8 ||| Other authors have also reported more frequent occurrence of uterine hyperstimulation syndrome and a higher intervention rate for fetal distress in women receiving vaginal misoprostol.,O,authors reported frequent occurrence uterine hyperstimulation syndrome intervention rate fetal distress women receiving vaginal misoprostol,C3812881|C0684224|C0332183|C0243132|C0042149|G0000000|C0039082|C0886296|C0871208|C0015965|C0231303|C0043210|C1514756|C0042232|C0085174
6,"16 |||  ||| 0.16 ||| Résultats : Huit (3,5 %) de ces 228 femmes ont été exclues de l'analyse puisqu'elles ont révoqué leur consentement à la suite de la randomisation.",N,rsultats huit 3 5 % de ces 228 femmes ont exclues de lanalyse puisquelles ont rvoqu leur consentement la suite de la randomisation,G0000000|G0000000|G0000000|G0000000|G0000000|C0011198|C0265493|C1442061|G0000000|G0000000|G0000000|C0011198|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0023031|C1553446|C0011198|C0023031|C0034656
7,116 ||| DISCUSSION ||| 5.3 ||| Similar observations were made by Paungmora et al.,N,observations paungmora al,C0302523|G0000000|C0202311
8,34 |||  ||| 0.34 ||| Comparative Evaluation of 50 Microgram Oral Misoprostol and 25 Microgram Intravaginal Misoprostol for Induction of Labour at Term,N,comparative evaluation 50 microgram oral misoprostol 25 microgram intravaginal misoprostol induction labour term,G0000000|C0220825|C0450371|C0439211|C0442027|C0085174|C0450371|C0439211|C0442122|C0085174|C0205263|C0022864|C0233324
9,12 |||  ||| 0.12 ||| Méthodes : Cet essai clinique randomisé n'ayant pas été mené à l'insu portait sur 228 femmes enceintes à terme qui présentaient des indications obstétricales ou médicales en ce qui concerne le déclenchement du travail.,N,mthodes cet essai clinique randomis nayant pas linsu portait sur 228 femmes enceintes terme qui prsentaient des indications obsttricales ou mdicales en ce qui concerne le dclenchement du travail,G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0030125|G0000000|G0000000|C0038880|C1442061|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0392360|G0000000|C0229118|G0000000|C0014908|C0038088|G0000000|G0000000|C0023190|G0000000|C0011535|G0000000
10,"60 ||| METHODS ||| 3.8 ||| Women in the study were monitored for uterine contractions, uterine hyperstimulation, nausea, vomiting, diarrhea, fever, and vaginal bleeding, and the progress of labour was recorded using a partogram.",P,women study monitored uterine contractions uterine hyperstimulation nausea vomiting diarrhea fever vaginal bleeding progress labour recorded partogram,C0043210|C0557651|C0030695|C0042149|C1140999|C0042149|G0000000|C0027497|C0042963|C0011991|C0015967|C0042232|C0019080|C1272688|C0022864|C0034869|G0000000
11,115 ||| DISCUSSION ||| 5.2 ||| Vaginal misoprostol has been shown to be more effective than vaginal and intracervical PGE 2 in terms of shorter induction-to-delivery interval and less need for oxytocin.,O,vaginal misoprostol effective vaginal intracervical pge 2 terms shorter induction-to-delivery interval oxytocin,C0042232|C0085174|C1280519|C0042232|C0444978|C0033559|G0000000|C0233324|C1282927|C0205263|C1272706|C0030095
12,57 ||| METHODS ||| 3.5 ||| We included women admitted through the emergency or outpatient department with an indication for induction of labour at term.,P,included women admitted emergency outpatient department indication induction labour term,C0332257|C0043210|C0184666|C0013956|C0029921|C1704729|C0392360|C0205263|C0022864|C0233324
