id,sentences,label,sentences_tokens,cuis
0,"62 ||| STATISTICAL ANALYSIS ||| 2.18 ||| Similar proportions of patients treated with oxytocin were successfully induced in both groups (P ¼.45); however, in subjects who did not receive oxytocin, significantly more (41 of 44, 93.2%) who were treated with misoprostol delivered vaginally within 24 hours compared with those treated with dinoprostone (21 of 34, 61.8%; P < .001).",I,proportions patients treated oxytocin induced 45 subjects receive oxytocin 41 44 93 2% treated misoprostol delivered vaginally 24 hours compared treated dinoprostone 21 34 61 8% < 001,C1709707|C0030705|C1522326|C0030095|C0205263|C0450371|C0681850|C1514756|C0030095|C0450371|C0450371|C0450371|G0000000|C1522326|C0085174|C1705822|G0000000|C0450371|C0439227|C1707455|C1522326|C0012472|C0450371|C0450371|C0450371|G0000000|G0000000|C1442061
1,99 ||| STATISTICAL ANALYSIS ||| 2.55 ||| Induction failure was defined as not entering into the active phase after 36 hours of misoprostol treatment with a maximal cumulative dosage of 1600 mg.,P,induction failure defined entering active phase 36 hours misoprostol treatment maximal cumulative dosage 1600,C0205263|C0231174|C1704788|C1522196|C0205177|C0205390|C0450371|C0439227|C0085174|C0039798|C0205289|C1511559|C0178602|G0000000
2,65 ||| STATISTICAL ANALYSIS ||| 2.21 ||| The small numbers preclude meaningful comparisons.,N,preclude meaningful comparisons,G0000000|C0876919|C1707455
3,41 ||| RESULTS ||| 1.4 ||| Approximately half had previous deliveries.,N,half previous deliveries,C2825407|C0205156|C0011209
4,36 |||  ||| 0.36 ||| Uterine tachysystole was defined as more than 5 contractions in a 10 minute period without fetal heart rate changes and uterine hyperstimulation as tachysystolic uterine contractions associated with nonreassuring fetal heart rate pattern.,N,uterine tachysystole defined 5 contractions 10 minute period fetal heart rate uterine hyperstimulation tachysystolic uterine contractions nonreassuring fetal heart rate pattern,C0042149|C2985339|C1704788|G0000000|C1140999|C0450371|C0439232|C0439531|C0015965|C0018787|C0871208|C0042149|G0000000|C2985339|C0042149|C1140999|G0000000|C0015965|C0018787|C0871208|C0449774
5,"106 ||| STATISTICAL ANALYSIS ||| 2.62 ||| Thaisomboon et al 12 compared hourly NICU admission, n (%) 0 6 (7.5) .028",I,thaisomboon al 12 compared hourly nicu admission % 0 6 7 5 028,G0000000|C0202311|C0450371|C1707455|C0558292|C0021709|C0184666|G0000000|G0000000|G0000000|G0000000|G0000000|C1442061
6,"30 |||  ||| 0.30 ||| If contractions subsequently became inadequate, oxytocin augmentation was provided at least 2 hours after the last misoprostol dose.",I,contractions subsequently inadequate oxytocin augmentation provided 2 hours misoprostol dose,C1140999|G0000000|C0205412|C0030095|C1293122|C1999230|G0000000|C0439227|C0085174|C0178602
7,16 |||  ||| 0.16 ||| Am J Obstet Gynecol 2014;210:56.e1-6.,P,obstet gynecol 2014 210 56 e1-6,G0000000|G0000000|G0000000|C1442061|C0450371|C1704625
8,"89 ||| STATISTICAL ANALYSIS ||| 2.45 ||| Cheng et al, 6 in 2008, reported that vaginal delivery within 24 hours was achieved in 94.1% of 101 women randomized to hourly titrated oral misoprostol, compared with 53.8% of 106 women treated with vaginal misoprostol (P < .01).",I,cheng al 6 2008 reported vaginal delivery 24 hours achieved 94 1% 101 women randomized hourly titrated oral misoprostol compared 53 8% 106 women treated vaginal misoprostol < 01,G0000000|C0202311|G0000000|G0000000|C0684224|C0042232|C0011209|C0450371|C0439227|G0000000|C0450371|G0000000|C1442061|C0043210|C0034656|C0558292|C1883350|C0442027|C0085174|C1707455|C0450371|G0000000|C1442061|C0043210|C1522326|C0042232|C0085174|G0000000|C0450371
9,"98 ||| STATISTICAL ANALYSIS ||| 2.54 ||| There was no statistical significant difference between the 2 groups in the proportion of vaginal deliveries within 24 hours (56% in the misoprostol group and 62% in the dinoprostone group; RR, 0.90, 95% CI, 0.72e1.14).",I,statistical difference 2 proportion vaginal deliveries 24 hours 56% misoprostol 62% dinoprostone rr 0 90 95% ci 0 72e1 14,C0038215|C1705241|G0000000|C1709707|C0042232|C0011209|C0450371|C0439227|C0450371|C0085174|C0450371|C0012472|G0000000|G0000000|C0450371|C0450371|C0008107|G0000000|G0000000|C0450371
10,"22 |||  ||| 0.22 ||| All women admitted to the KAUH (Jeddah, Saudi Arabia) for whom induction of labor was indicated by their attending obstetrician, who met the eligibility criteria, and from whom written informed consent was obtained by the physician were enrolled.",P,women admitted kauh jeddah saudi arabia induction labor attending obstetrician met eligibility criteria written informed consent physician enrolled,C0043210|C0184666|G0000000|G0000000|G0000000|C0003671|C0205263|C0022864|C1547429|C0334897|C0268621|C0013893|C0243161|C0043266|C1522154|C1511481|C0031831|G0000000
