label,sentence,pubmed_id,labeler
P,52 |||  ||| 0.52 ||| We found that 51% of patients who underwent elective CABG had incomplete inhibition of platelet reactivity with aspirin.,24666617,zmj
P,"38 |||  ||| 0.38 ||| We found a statistically significant reduction in the frequency of MACCE in patients aged <65 years (0% vs 10%, p ¼ 0.02).",24666617,zmj
P,4 |||  ||| 0.4 ||| We randomly assigned 219 aspirin-resistant patients according to multiple electrode aggregometry to receive clopidogrel (75 mg) plus aspirin (300 mg) or aspirin-monotherapy (300 mg).,24666617,zmj
P,11 |||  ||| 0.11 ||| A total of 224 aspirin-resistant patients with CABG were randomly assigned to receive aspirin only (n ¼ 110) or aspirin plus clopidogrel (n ¼ 114).,24666617,zmj
P,1 |||  ||| 0.1 ||| Coronary artery bypass grafting is pivotal in the contemporary management of complex coronary artery disease.,24666617,zmj
I,4 |||  ||| 0.4 ||| We randomly assigned 219 aspirin-resistant patients according to multiple electrode aggregometry to receive clopidogrel (75 mg) plus aspirin (300 mg) or aspirin-monotherapy (300 mg).,24666617,zmj
I,"5 |||  ||| 0.5 ||| The primary end point was a composite outcome of all-cause death, nonfatal myocardial infarction, stroke, or cardiovascular hospitalization assessed at 6 months post-operatively.",24666617,zmj
I,11 |||  ||| 0.11 ||| A total of 224 aspirin-resistant patients with CABG were randomly assigned to receive aspirin only (n ¼ 110) or aspirin plus clopidogrel (n ¼ 114).,24666617,zmj
I,"10 |||  ||| 0.10 ||| In conclusion, the addition of clopidogrel in patients found to be aspirin resistant after coronary artery bypass grafting did not reduce the incidence of adverse events, nor did it increase the number of recorded bleeding events.",24666617,zmj
O,"10 |||  ||| 0.10 ||| In conclusion, the addition of clopidogrel in patients found to be aspirin resistant after coronary artery bypass grafting did not reduce the incidence of adverse events, nor did it increase the number of recorded bleeding events.",24666617,zmj
