91 ||| Baseline characteristics ||| 5.18 ||| After several seconds grade 3 TIMI flow was restored.,grade 3 timi flow restored,C0441800|G0000000|G0000000|C0806140|G0000000
90 ||| Baseline characteristics ||| 5.17 ||| At once 10 ml (0.5 mg) Tirofiban was injected by the intracoronary route and balloon inflation was performed at the site of occlusion.,10 0 5 tirofiban injected intracoronary route balloon inflation performed site occlusion,C0450371|G0000000|G0000000|C0247025|C1720154|C0595454|C0013153|C0336867|C0021398|C0884358|C0205145|C0011382
123 ||| Discussion ||| 6.14 ||| Variable,variable,C0439828
125 ||| Discussion ||| 6.16 ||| Global LVEF (%) Baseline Mean 51.4 ± 1.6(48.0-54.8) 50.8 ± 1.5(47.6-53.,global lvef % baseline 51 4 1 6 48 0-54 8 50 8 1 5 47 6-53,C0205246|C0428772|G0000000|C0168634|C0450371|G0000000|G0000000|G0000000|C0450371|C0450371|G0000000|C0450371|G0000000|G0000000|G0000000|C0450371|C0450371
67 ||| Study design ||| 3.16 ||| Data are expressed as means ± SE (unless stated otherwise).,data expressed se stated,C1511726|G0000000|C0036919|C1301808
"143 ||| Limitations ||| 7.14 ||| On the other hand, we don't have cardiac contrast-enhanced magnetic resonance imaging (CE-MRI) available in all centers to assess the cardiac function that may be a flaw comparing with recently published related articles.",hand dont cardiac contrast-enhanced magnetic resonance imaging ce-mri centers assess cardiac function flaw comparing published articles,C0018563|G0000000|C0018787|C0009924|C0024488|C0231881|C0011923|C0038088|C0205099|C1516048|C0018787|C0031843|G0000000|C1707455|C0034037|C1706852
"7 |||  ||| 0.7 ||| Similarly, LVEF after 12 and 24 months follow-up did not show any difference between the two groups.",lvef 12 24 months follow-up difference,C0428772|C0450371|C0450371|C0439231|C0589120|C1705241
"20 ||| Introduction ||| 1.11 ||| Accordingly, we designed a randomized, single-blinded, multicenter trial to evaluate 2-year follow-up safety and efficacy of BMSCs via intracoronary injection in patients with acute STEMI after successful primary percutaneous coronary intervention (PCI).",designed randomized single-blinded multicenter trial evaluate 2-year follow-up safety efficacy bmscs intracoronary injection patients acute stemi successful primary percutaneous coronary intervention pci,C1707689|C0034656|C0037179|C0439743|C0008976|C0220825|C0439234|C0589120|C0036043|C1280519|G0000000|C0595454|C0021485|C0030705|C0205178|C3538872|C0597535|C0205225|C0522523|C0018787|C0886296|C4049621
"76 ||| Baseline characteristics ||| 5.3 ||| They were negative for CD31, CD45, and had multilineage differentiation potential in vitro in line with the criteria of the ISCT for defining BMSCs [28].",negative cd31 cd45 multilineage differentiation potential vitro criteria isct defining bmscs 28,C0205160|G0000000|G0000000|G0000000|C0007589|C3245505|C1533691|C0243161|G0000000|G0000000|G0000000|C0450371
49 ||| Methods ||| 2.14 ||| Two-dimensional echocardiograms,two-dimensional echocardiograms,C1705052|C0013516
"50 ||| Methods ||| 2.15 ||| Patients underwent echocardiography consecutively before the procedure and at 6,12 and 24 months follow-up.",patients underwent echocardiography consecutively procedure 6 12 24 months follow-up,C0030705|G0000000|C0013516|G0000000|C0184661|G0000000|C0450371|C0450371|C0439231|C0589120
"55 ||| Study design ||| 3.4 ||| The primary end points of the study were the absolute changes in myocardial viability and perfusion in the infarcted region measured by 18 F-fluorodeoxyglucose and 99mTc-sestamibi single-photon emission computed tomography (SPECT) at 6 months after cell infusion, and in global left ventricular ejection fraction measured by two-dimensional echocardiograms at 6,12 and 24 months after cell infusion.",primary study absolute myocardial viability perfusion infarcted region measured 18 f-fluorodeoxyglucose 99mtc-sestamibi single-photon emission computed tomography spect 6 months cell infusion global left ventricular ejection fraction measured two-dimensional echocardiograms 6 12 24 months cell infusion,C0205225|C0557651|C0205344|C0027061|C0443348|C0031001|C0333541|C0017446|C0444706|C0450371|C0016327|C1337333|C0037179|C0233929|C1441526|C0040395|C0040399|G0000000|C0439231|C0007634|C0574032|C0205246|C0205091|C0018827|C0302131|C1264633|C0444706|C1705052|C0013516|G0000000|C0450371|C0450371|C0439231|C0007634|C0574032
66 ||| Study design ||| 3.15 ||| Parameters measured by 18-FDG/99mTc-sestamibi SPECT and echocardiography were analyzed independently by 2 experienced observers.,parameters measured 18-fdg/99mtc-sestamibi spect echocardiography analyzed independently 2 experienced observers,C0449381|C0444706|C0450371|C0040399|C0013516|C0936012|G0000000|G0000000|C0237607|C0870992
