"159 ||| DISCUSSION ||| 4.11 ||| SDF-1α-modified MSCs enhanced the tolerance of engrafted MSCs to hypoxic injury in vitro and improved their viability in a rat model of infarcted hearts, thus helping preserve the contractile function and attenuate LV remodeling (27).",sdf-1-modified mscs enhanced tolerance engrafted mscs hypoxic injury vitro improved viability rat model infarcted hearts helping preserve contractile function attenuate lv remodeling 27,C0392747|C2248778|C2349975|C0013220|G0000000|C2248778|C0242184|C3263722|C1533691|C0184511|C0443348|C0034693|C3161035|C0333541|C0018787|G0000000|G0000000|C0026820|C0031843|C0599946|C0023128|G0000000|C0450371
135 ||| RESULTS ||| 3.25 ||| There were no serious inflammatory reactions or bleeding complications at the site of iliac puncture after BM aspiration.,inflammatory reactions bleeding complications site iliac puncture bm aspiration,C0333348|C0443286|C0019080|C0009566|C0205145|C0020889|C0033119|C0006416|C0220787
83 ||| MATERIALS AND METHODS ||| 1.49 ||| Total acquisition time was ~20 min.,total acquisition time ~20 min,C0439175|C1706701|C0040223|C0450371|C0702093
"12 |||  ||| 0.12 ||| However, there is still argumentative for the safety and efficacy of MSCs in the AMI setting.",argumentative safety efficacy mscs ami setting,G0000000|C0036043|C1280519|C2248778|G0000000|C0542559
58 ||| MATERIALS AND METHODS ||| 1.24 ||| Alkaline phosphatase staining was used to demonstrate the osteogenic differentiation.,alkaline phosphatase staining demonstrate osteogenic differentiation,C1979842|C0031678|C0487602|G0000000|C0029433|C0007589
107 ||| Ethics statement ||| 2.2 ||| The institutional review board of each participating center approved the treatment protocol before the initiation of enrollment.,institutional review board participating center approved treatment protocol initiation enrollment,C0018704|C0282443|C0972401|C0679823|C0205099|C0205540|C0039798|C0442711|C0589507|C1516879
131 ||| RESULTS ||| 3.21 ||| The absolute change in global LVEF from baseline to 6 months was significantly improved in the MSCs group than the control group.,absolute change global lvef baseline 6 months improved mscs control,C0205344|C0392747|C0205246|C0428772|C0168634|G0000000|C0439231|C0184511|C2248778|C0243148
141 ||| RESULTS ||| 3.31 ||| Symptom to initial SPECT (day) 5.1 ± 2.3 4.8 ± 2.0 0.578 Symptom to follow-up SPECT (day) 185.3 ± 7.5 182.4 ± 9.2 0.184 Symptom to initial Echo (day),symptom initial spect day 5 1 2 3 4 8 2 0 0 578 symptom follow-up spect day 185 3 7 5 182 4 9 2 0 184 symptom initial echo day,C1457887|C0205265|C0040399|C0332173|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C1442061|C1457887|C0589120|C0040399|C0332173|C1442061|G0000000|G0000000|G0000000|C1442061|G0000000|G0000000|G0000000|G0000000|C1442061|C1457887|C0205265|C0058928|C0332173
"32 |||  ||| 0.32 ||| Therefore, we hypothesized that treatment with purified BM-derived MSCs would be effective in patients with AMI despite of delayed administration.",hypothesized treatment purified bm-derived mscs effective patients ami delayed administration,G0000000|C0039798|C1998793|C0006416|C2248778|C1280519|C0030705|G0000000|C0205421|C0001554
127 ||| RESULTS ||| 3.17 ||| Twenty-one patients of the stem cell group and 20 patients of the control group were analyzed.,twenty-one patients stem cell 20 patients control analyzed,C3715213|C0030705|C0242767|C0007634|C0450371|C0030705|C0243148|C0936012
