"45 ||| Materials and methods ||| 2.27 ||| On discharge from the hospital, the woman's preference for the oral or vaginal misoprostol formulation was evaluated by asking which formulation she would prefer should labor induction be required in a future delivery.",discharge hospital womans preference oral vaginal misoprostol formulation evaluated formulation prefer labor induction required future delivery,C0012621|C0019994|G0000000|C0558295|C0442027|C0042232|C0085174|C0524527|C0220825|C0524527|G0000000|C0022864|C0205263|C1514873|C0016884|C0011209
"70 ||| Results ||| 3.7 ||| The same was true for vaginal delivery not achieved within 24 hours, uterine hyperstimulation, and cesarean delivery.",true vaginal delivery achieved 24 hours uterine hyperstimulation cesarean delivery,C0205238|C0042232|C0011209|G0000000|C0450371|C0439227|C0042149|G0000000|C3841297|C0011209
84 ||| Results ||| 3.21 ||| There were no cases of neonatal encephalopathy or death.,neonatal encephalopathy death,C1552240|C0006111|C0011065
"89 ||| Discussion ||| 4.4 ||| By contrast, with oral misoprostol, the frequency of vaginal delivery not achieved within 12 hours was only 26% in the first randomized clinical trial assessing this route of administration [8].",contrast oral misoprostol frequency vaginal delivery achieved 12 hours 26% randomized clinical trial assessing route administration 8,C0009924|C0442027|C0085174|C0376249|C0042232|C0011209|G0000000|C0450371|C0439227|C0450371|C0034656|C0205210|C0008976|C1516048|C0013153|C0001554|G0000000
"47 ||| Materials and methods ||| 2.29 ||| A non-reassuring fetal heart rate (FHR) pattern, evaluated using cardiotocography or intermittent fetal auscultation, was defined as the persistence of a baseline FHR of less than 110 bpm, presence of late FHR decelerations (reduction in FHR following uterine contractions), or presence of fetal tachycardia (persistent FHR of more than 160 bpm) [19].",non-reassuring fetal heart rate fhr pattern evaluated cardiotocography intermittent fetal auscultation defined persistence baseline fhr 110 bpm presence late fhr decelerations reduction fhr uterine contractions presence fetal tachycardia persistent fhr 160 bpm 19,C1518422|C0015965|C0018787|C0871208|G0000000|C0449774|C0220825|C0007208|C0205267|C0015965|C0004339|C1704788|C0546816|C0168634|G0000000|C1442061|G0000000|C0150312|C0205087|G0000000|C0011100|C0301630|G0000000|C0042149|C1140999|C0150312|C0015965|C0039231|C0205322|G0000000|C1442061|G0000000|C0450371
80 ||| Results ||| 3.17 ||| The Kaplan-Meier survival curves for the time from induction to delivery did not differ between the groups (Fig.,kaplan-meier survival curves time induction delivery fig,G0000000|C0038952|C0205134|C0040223|C0205263|C0011209|C0349966
"93 ||| Discussion ||| 4.8 ||| The frequency of uterine hyperstimulation was low in the present study, with no significant difference between the groups.",frequency uterine hyperstimulation low study difference,C0376249|C0042149|G0000000|C0205251|C0557651|C1705241
"97 ||| Discussion ||| 4.12 ||| There were no cases of severe neonatal morbidity, neonatal death, severe maternal morbidity, or maternal death in the present study, which is consistent with the results of other studies [3].",severe neonatal morbidity neonatal death severe maternal morbidity maternal death study consistent studies 3,C0205082|C1552240|C0026538|C1552240|C0011065|C0205082|C2347083|C0026538|C2347083|C0011065|C0557651|C0332290|C0947630|G0000000
"12 ||| Introduction ||| 1.3 ||| The effectiveness of misoprostol is no longer questioned, although the ideal dose and route of administration remain to be defined [3][4][5][6][7][8][9][10].",effectiveness misoprostol questioned ideal dose route administration remain defined 345678910,C1280519|C0085174|C1522634|C1512612|C0178602|C0013153|C0001554|G0000000|C1704788|G0000000
"99 ||| Discussion ||| 4.14 ||| The Cochrane review [3] reported a greater need for oxytocin in women using oral misoprostol (57%) than in those with vaginal administration (51%), a finding that is in agreement with the results from another randomized controlled trial [13].",cochrane review 3 reported oxytocin women oral misoprostol 57% vaginal administration 51% finding agreement randomized controlled trial 13,G0000000|C0282443|G0000000|C0684224|C0030095|C0043210|C0442027|C0085174|C0450371|C0042232|C0001554|C0450371|C0037088|C0680240|C0034656|C2587213|C0008976|C0450371
"98 ||| Discussion ||| 4.13 ||| Likewise, no difference between the 2 groups was found in the need for oxytocin augmentation.",likewise difference 2 oxytocin augmentation,G0000000|C1705241|G0000000|C0030095|C1293122
"92 ||| Discussion ||| 4.7 ||| However, in the randomized controlled trial [8], the frequency of vaginal delivery not achieved within 24 hours was 5.9% for the oral solution and 46% for the vaginal tablets.",randomized controlled trial 8 frequency vaginal delivery achieved 24 hours 5 9% oral solution 46% vaginal tablets,C0034656|C2587213|C0008976|G0000000|C0376249|C0042232|C0011209|G0000000|C0450371|C0439227|G0000000|G0000000|C0442027|C0037633|C0450371|C0042232|C0039225
"48 ||| Materials and methods ||| 2.30 ||| Hypertonia/hypersystole was defined as uterine contractions for at least 2 minutes, tachysystole as 6 or more uterine contractions during 2 consecutive 10-minute periods, and uterine hyperstimulation as tachysystole or hypersystole/hypertonia associated with a nonreassuring FHR pattern [21].",hypertonia/hypersystole defined uterine contractions 2 minutes tachysystole 6 uterine contractions 2 consecutive 10-minute periods uterine hyperstimulation tachysystole hypersystole/hypertonia nonreassuring fhr pattern 21,C0026826|C1704788|C0042149|C1140999|G0000000|C0439232|C2985339|G0000000|C0042149|C1140999|G0000000|C1707491|C0450371|C0439531|C0042149|G0000000|C2985339|C0026826|G0000000|G0000000|C0449774|C0450371
