12 |||  ||| 0.12 ||| The therapy of 75 mg clopidogrel plus aspirin resulted in a worrisome tread in bleeding events.,therapy 75 clopidogrel aspirin worrisome tread bleeding events,C0039798|C0450371|C0070166|C0004057|G0000000|G0000000|C0019080|C0441471
"63 ||| Statistical analysis ||| 6.8 ||| Among these patients, 66 received clopidogrel 50 mg plus aspirin, another 66 participants were treated using clopidogrel 75 mg plus aspirin, and the remaining 68 patients were treated using aspirin alone.",patients 66 received clopidogrel 50 aspirin 66 participants treated clopidogrel 75 aspirin remaining 68 patients treated aspirin,C0030705|C0450371|C1514756|C0070166|C0450371|C0004057|C0450371|C0679646|C1522326|C0070166|C0450371|C0004057|C1527428|C0450371|C0030705|C1522326|C0004057
"66 ||| Statistical analysis ||| 6.11 ||| In all 200 patients, the median age was 62 years, and 79 (39.5%) patients were female.",200 patients median age 62 79 39 5% patients female,C1442061|C0030705|C0549183|C0001779|C0450371|C0450371|C0450371|G0000000|C0030705|C0015780
121 ||| Discussion ||| 7.34 ||| Aspirin inhibits the aggregation of platelets through the cyclooxygenase pathway.,aspirin inhibits aggregation platelets cyclooxygenase pathway,C0004057|C0018790|C0332621|C0005821|C0033551|C1704259
"112 ||| Discussion ||| 7.25 ||| In the future work, we will compare the effects of front-loading method and our protocol in larger multicenters with larger sample size to verify which method is more available in preventing stroke in patients with TIA or stroke combine with intracranial and extracranial arteriostenosis.",future compare effects front-loading method protocol larger multicenters larger sample size verify method preventing stroke patients tia stroke combine intracranial extracranial arteriostenosis,C0016884|C1707455|C1280500|C0205094|C0025663|C0442711|C0549177|G0000000|C0549177|C0370003|C0456389|C1711411|C0025663|C0309872|C0038454|C0030705|C0007787|C0038454|C0336789|C0524466|C0580586|G0000000
47 ||| Participants ||| 4.25 ||| Endpoints,endpoints,C2349179
"23 ||| Participants ||| 4.1 ||| [18] Because of these inconsistent data, we proposed to resolve this uncertainty.",18 inconsistent data proposed resolve uncertainty,C0450371|C0442809|C1511726|C1553874|C2699488|C0087130
"59 ||| Statistical analysis ||| 6.4 ||| The treatment effects were compared with analysis of variance, and 95% confidence intervals (CIs).",treatment effects compared analysis variance 95% confidence intervals cis,C0039798|C1280500|C1707455|C0002778|C1711260|C0450371|C0237529|C1272706|C1504308
"130 ||| Discussion ||| 7.43 ||| Despite these drawbacks, to a certain degree, our results provided some preliminary evidence to prefer the combination regimen of clopidogrel sulfate plus aspirin over aspirin alone as stroke prevention in patients.",drawbacks degree provided preliminary evidence prefer combination regimen clopidogrel sulfate aspirin aspirin stroke prevention patients,G0000000|C0441889|C1999230|C0439611|C3887511|G0000000|C0205195|C0040808|C0070166|C0038720|C0004057|C0004057|C0038454|C0199176|C0030705
"8 |||  ||| 0.8 ||| There were more hemorrhagic events among recipients (3 patients [2.3%]) in the copidogrel plus aspirin group than aspirin recipients (0 patient [0%]), including 1 subcutaneous hemorrhage in the group of 50 mg clopidogrel and aspirin, doubling the number of nasal and gum bleeding in the group of 75 mg clopidogrel and aspirin (P > 0.05).",hemorrhagic events recipients 3 patients 2 3% copidogrel aspirin aspirin recipients 0 patient 0% including 1 subcutaneous hemorrhage 50 clopidogrel aspirin doubling nasal gum bleeding 75 clopidogrel aspirin 0 05,C0333275|C0441471|C1709854|G0000000|C0030705|G0000000|G0000000|G0000000|C0004057|C0004057|C1709854|G0000000|C0030705|G0000000|C0332257|G0000000|C0443315|C0019080|C0450371|C0070166|C0004057|C0205173|C0028429|C0017562|C0019080|C0450371|C0070166|C0004057|G0000000|C0450371
"48 ||| Participants ||| 4.26 ||| The main study endpoints were recurrence of ischemic stroke, death from any causes, and death from cardiovascular causes Zuo et al.",main study endpoints recurrence ischemic stroke death death cardiovascular zuo al,C0205225|C0557651|C2349179|C0034897|C0475224|C0038454|C0011065|C0011065|C0007226|G0000000|C0202311
74 ||| Statistical analysis ||| 6.19 ||| Medications taken by the patients were exhibited in Table 2.,medications patients exhibited table 2,C0013227|C0030705|C0015272|C0039224|G0000000
33 ||| Participants ||| 4.11 ||| Procedures,procedures,C0025664
"53 ||| Participants ||| 4.31 ||| Moreover, nasal and gum bleeding were also examined.",nasal gum bleeding examined,C0028429|C0017562|C0019080|C0332128
"104 ||| Discussion ||| 7.17 ||| However, the combination of aspirin and clopidogrel has not yet proven effective and safe in the secondary prevention of stroke and TIA.",combination aspirin clopidogrel proven effective safe secondary prevention stroke tia,C0205195|C0004057|C0070166|C0456369|C1280519|G0000000|C0027627|C0199176|C0038454|C0007787
51 ||| Participants ||| 4.29 ||| All patients with the main study endpoints undertook brain CT scan to exclude intracranial hemorrhage.,patients main study endpoints undertook brain ct scan exclude intracranial hemorrhage,C0030705|C0205225|C0557651|C2349179|G0000000|C0006104|C0007673|C0034606|C0332196|C0524466|C0019080
