range of motion of the knee,range motion knee,C1514721|C0026597|C0022742
ECP in nasal lavage,ecp nasal lavage,C3889675|C0028429|C0022100
Cr clearance,cr clearance,C0201975|C0449297
NEAP,neap,G0000000
hypnotic susceptibility scale,hypnotic susceptibility scale,C0020591|C0012655|C0175659
Sinus rhythm,sinus rhythm,C0016169|C0871269
Metabolic and cardiovascular effects,metabolic cardiovascular effects,C0311400|C0007226|C1280500
pretask completion time,pretask completion time,G0000000|C0205197|C0040223
total and conjugated bilirubin,total conjugated bilirubin,C0439175|C0522529|C0005437
intestinal recovery,intestinal recovery,C0021853|C0237820
knee range of motion,knee range motion,C0022742|C1514721|C0026597
change in lactate .,change lactate,C0392747|C0022924
reduction in hospital stay,reduction hospital stay,C0301630|C0019994|G0000000
serum creatinine,serum creatinine,C0229671|C0010294
motor impairment,motor impairment,C1513492|C0221099
physical function parameters,physical function parameters,C0031809|C0031843|C0449381
serum cholesterol levels,serum cholesterol levels,C0229671|C0008377|C0441889
frequency and severity of variable decelerations in the first stage of labor,frequency severity variable decelerations stage labor,C0376249|C0439793|C0439828|C0011100|C0205390|C0022864
lymphocysts,lymphocysts,C0024248
pain-free,pain-free,C0908489
functional benefits,functional benefits,C0205245|C0814225
post-intervention sexual and drug-taking risk .,post-intervention sexual drug-taking risk,C2347647|C0036864|C0013227|C0035647
auditory P3 and N1 amplitudes .,auditory p3 n1 amplitudes,C0439825|C0332132|C0445085|C2346753
tell receptionists things they did not want others to hear .,receptionists hear,C0402499|C0018767
total dosage of,total dosage,C0439175|C0178602
long-term neurological outcome,long-term neurological outcome,C0443252|C0205494|C1274040
Gingival overgrowth,gingival overgrowth,C0017562|C1849265
Nonunions,nonunions,C3897107
CA was poorly tolerated,tolerated,G0000000
reduction in heroin use,reduction heroin,C0301630|C0011892
Emotional reactivity,emotional reactivity,C0013987|C0443286
postoperative pain .,postoperative pain,C0032790|C0030193
+,+,G0000000
swallow-induced relaxation,swallow-induced relaxation,C0326374|C0035028
aberrant behavior in,aberrant behavior,C0443127|C0004927
UKU side-effect scale,uku side-effect scale,G0000000|C0879626|C0175659
psychosocial effectiveness,psychosocial effectiveness,C0542298|C1280519
