third stage of labor,stage labor,C0205390|C0022864
Twenty,twenty,C0724000
half,half,C2825407
radical PD,radical pd,C0302912|G0000000
SCT,sct,C0860888
uveal melanoma,uveal melanoma,C0042160|C0025202
N=20,n=20,C0369718
advanced prostate cancer,advanced prostate cancer,C0205179|C0033572|C0006826
serum cholesterol levels,serum cholesterol levels,C0229671|C0008377|C0441889
mental retardation,mental retardation,C0229992|C0521111
N=28,n=28,C0369718
N=26,n=26,C0369718
ten,ten,C0014518
85 females,85 females,C0450371|C0015780
n = 45,= 45,G0000000|C0450371
Three hundred twenty-nine,twenty-nine,C0450351
136 postmenopausal women,136 postmenopausal women,C1442061|C0232970|C0043210
local and systemic adverse events,local systemic adverse events,C0205276|C0205373|G0000000|C0441471
Regression of ROP,regression rop,C0684320|C0035344
daunorubicin,daunorubicin,C0011015
N=16,n=16,C0369718
advanced or recurrent breast cancer,advanced recurrent breast cancer,C0205179|C2945760|C0006141|C0006826
2,2,G0000000
N=18,n=18,C0369718
3,3,G0000000
4,4,G0000000
5,5,G0000000
6,6,G0000000
7,7,G0000000
8,8,G0000000
acute respiratory distress syndrome,acute respiratory distress syndrome,C0205178|C0521346|C0231303|C0039082
Postoperative pain after laparoscopic cholecystectomy ( LC ),postoperative pain laparoscopic cholecystectomy lc,C0032790|C0030193|C0031150|C0008320|G0000000
9,9,G0000000
eleven,eleven,C0205457
72 ),72,C0450371
physically active,physically active,G0000000|C0205177
chronically ill,chronically ill,G0000000|C0231218
metastatic renal cell cancer,metastatic renal cell cancer,C0036525|C0022646|C0007634|C0006826
scaphoid fractures,scaphoid fractures,C0223724|C0016658
newly diagnosed stage 1 hypertensive patients ],newly diagnosed stage 1 hypertensive patients,C0750546|C0011900|C0205390|G0000000|C0857121|C0030705
1000,1000,G0000000
childhood/adolescent pervasive developmental disorder,childhood/adolescent pervasive developmental disorder,C0231335|C0205391|C0458003|C0012634
I,NULL,NULL
coronary artery bypass,coronary artery bypass,C0018787|C0003842|C0741847
children two months,children months,C0008059|C0439231
autistic children ],autistic children,C0004352|C0008059
thirty-one female patients and twenty-five male patients,thirty-one female patients twenty-five male patients,C3816446|C0015780|C0030705|C3715062|C0086582|C0030705
benign prostatic hyperplasia ( BPH ),benign prostatic hyperplasia bph,C0205183|C0033572|C0020507|C0005001
47 were given aprindine,47 aprindine,C0450371|C0003639
13 asthmatic,13 asthmatic,C0450371|C0004096
defibrillator implantation,defibrillator implantation,C0180307|C0021107
CVCs,cvcs,G0000000
2329,2329,G0000000
severe bronchiectasis,severe bronchiectasis,C0205082|C0006267
low malaria,low malaria,C0205251|C0024530
autistic children .,autistic children,C0004352|C0008059
anxiety symptoms,anxiety symptoms,C0003467|C0683368
N=31,n=31,C0369718
chemotherapy with or without radiotherapy,chemotherapy radiotherapy,C0013216|C0034619
18 premature infants,18 premature infants,C0450371|C0151526|C0021270
Sixty-two,sixty-two,C3816724
patients with depression and comorbidity of depression and panic,patients depression comorbidity depression panic,C0030705|C0011570|C0009488|C0011570|C0030318
hypertensive crises ( systolic blood pressure exceeding 200 mmHg and diastolic blood pressure exceeding 115 mmHg,hypertensive crises systolic blood pressure exceeding 200 mmhg diastolic blood pressure exceeding 115 mmhg,C0857121|C0231224|C0039155|C0005767|C0033095|G0000000|C1442061|C0439475|C0012000|C0005767|C0033095|G0000000|C1442061|C0439475
Twenty-seven,twenty-seven,C0724000
32nd and 37th week of pregnancy,32nd 37th week pregnancy,G0000000|G0000000|C0332174|C0032961
"seven normal , healthy male",normal healthy male,C0205307|C3898900|C0086582
artery bypass grafting .,artery bypass grafting,C0003842|C0741847|C0332835
Twenty-six,twenty-six,C0724000
newly diagnosed stage 1 hypertensive patients .,newly diagnosed stage 1 hypertensive patients,C0750546|C0011900|C0205390|G0000000|C0857121|C0030705
Two hundred and thirty-seven,thirty-seven,C3816446
refractive surgery,refractive surgery,C0429585|C0038894
chronic ankle instability ( CAI ),chronic ankle instability cai,C0205191|C0003086|C1444783|C0064494
metastatic colorectal carcinoma,metastatic colorectal carcinoma,C0036525|C0555952|C0007097
proliferative diabetic retinopathy or severe nonproliferative diabetic retinopathy,proliferative diabetic retinopathy severe nonproliferative diabetic retinopathy,C0334094|C0241863|C0035309|C0205082|G0000000|C0241863|C0035309
elective cesarean section,elective cesarean,C0206058|C3841297
advanced nasopharyngeal carcinoma,advanced nasopharyngeal carcinoma,C0205179|C0027442|C0007097
preterm,preterm,C0151526
transrectal ultrasound guided prostate biopsy,transrectal ultrasound guided prostate biopsy,C0205518|C0041618|C0181090|C0033572|C0005558
common colds,common colds,C0205214|C0009443
obese,obese,C0028754
N=62,n=62,C0369718
nonverbal,nonverbal,C0746940
normal-tension glaucoma,normal-tension glaucoma,C4068890|C0017601
forty-two children,forty-two children,C3816449|C0008059
18th week of pregnancy,18th week pregnancy,G0000000|C0332174|C0032961
esthesioneuroblastoma,esthesioneuroblastoma,C0206717
pedunculated and small sessile tubular and tubulovillous adenomas,pedunculated sessile tubular tubulovillous adenomas,C0205320|C0205348|C0332208|G0000000|C0001430
emergency PCI,emergency pci,C0013956|C4049621
post-myocardial infarction,post-myocardial infarction,C0687676|C0021308
prostate cancer .,prostate cancer,C0033572|C0006826
retained placenta .,retained placenta,C0333118|C0032043
13 men,13,C0450371
Autistic Disorder,autistic disorder,C0004352|C0012634
mild inflammation .,mild inflammation,C2945599|C0021368
Eastern United States,eastern united,C1707877|C0166872
"4 on a scale of 0 to 10 , representing average chemotherapy-induced pain",4 scale 0 10 representing average chemotherapy-induced pain,G0000000|C0175659|G0000000|C0450371|C1882932|C1510992|C0013216|C0030193
moderate smokers,moderate smokers,C0205081|C0337664
13 females,13 females,C0450371|C0015780
Forty-two healthy adult,forty-two healthy adult,C3816449|C3898900|C0001675
renal failure,renal failure,C0022646|C0231174
peritoneal dialysis,peritoneal dialysis,C0031153|C0011945
54.1,54 1,C0450371|G0000000
Glasgow Coma,glasgow coma,G0000000|C0009421
undergoing PCI,undergoing pci,G0000000|C4049621
patients with MetS,patients mets,C0030705|C0812270
distal radial fractures .,distal radial fractures,C0205108|C0442038|C0016658
noninfectious posterior uveitis,noninfectious posterior uveitis,C0521118|C0205095|C0042164
postmenopausal osteoporosis,postmenopausal osteoporosis,C0232970|C0029456
18 athletes,18 athletes,C0450371|C0238703
first-time blood donors who experience a mild adverse event .,first-time blood donors experience mild adverse event,C0205435|C0005767|C0013018|C0237607|C2945599|G0000000|C0441471
shivering,shivering,C0036973
1 mo to < 17 yr old,1 mo < 17 yr,G0000000|C0026544|G0000000|C0450371|C0439234
acute bacterial maxillary sinusitis,acute bacterial maxillary sinusitis,C0205178|C0521009|C0024947|C0037199
Eimeria maxima,eimeria maxima,C0013739|C0806909
birch pollen allergy,birch pollen allergy,C0330312|C0032385|C0002111
aged 18 to 55 years,aged 18 55,C0001779|C0450371|C0450371
nasopharyngeal carcinoma,nasopharyngeal carcinoma,C0027442|C0007097
124 women,124 women,C1442061|C0043210
285 women,285 women,C1442061|C0043210
obese men,obese,C0028754
prosthetic valve thrombosis ( PVT ),prosthetic valve thrombosis pvt,G0000000|C0184252|C0040053|G0000000
59 male,59 male,C0450371|C0086582
juvenile diabetic,juvenile diabetic,C3146221|C0241863
prethreshold ROP,prethreshold rop,G0000000|C0035344
osteoarthritis ( OA ) of the hip and knee,osteoarthritis oa hip knee,C0029408|C0029408|C0019552|C0022742
cancer,cancer,C0006826
turner syndrome,turner syndrome,G0000000|C0039082
trauma to the trigeminal nerve during orthognathic surgery,trauma trigeminal nerve orthognathic surgery,C0043251|G0000000|C0027740|C2825968|C0038894
101 children,101 children,C1442061|C0008059
high imagery,imagery,C0150627
treated with PTCA,treated ptca,C1522326|C2936173
preterm neonates,preterm neonates,C0151526|C0021289
adenoidectomy,adenoidectomy,C0001425
severe epigastric pain,severe epigastric pain,C0205082|C0521440|C0030193
zero of 20 patients,20 patients,C0450371|C0030705
autistic syndromes,autistic syndromes,C0004352|C0039082
Four hundred fifty-three,fifty-three,C3816723
50 and older,50,C0450371
lumbar disk surgery,lumbar disk surgery,C0024090|C0180459|C0038894
occupational irritant contact dermatitis,occupational irritant contact dermatitis,C0521127|C0022108|C0332158|C0011603
hepatocellular carcinoma,hepatocellular carcinoma,C2697585|C0007097
autism diagnosed according to DSM-IV and ICD-10 criteria using the Autism Diagnostic Interview-Revised and the Autism Diagnostic Observation Schedule-Generic,autism diagnosed dsm-iv icd-10 criteria autism diagnostic interview-revised autism diagnostic observation schedule-generic,C0004352|C0011900|C0220952|C0021122|C0243161|C0004352|C0011900|C0021822|C0004352|C0011900|C0302523|C0086960
colorectal cancer,colorectal cancer,C0555952|C0006826
fresh scars after thoracic surgery in children and adolescents .,fresh scars thoracic surgery children adolescents,C0443224|C0241158|G0000000|C0038894|C0008059|C0205653
35 to 59-year-old,35 59-year-old,C0450371|C0450371
