"In this multicenter, double-blind, parallel-group study, 218 patients with CHF (New York Heart Association class II or III) with impaired left ventricular function (ejection fraction 40%) and pulmonary capillary wedge pressure 13 mm Hg were randomly assigned to 12 weeks of treatment with placebo (n =44) or candesartan cilexetil (2 mg [n = 45], 4 mg [n = 46], 8 mg [n = 39], or 16 mg [n = 44]) once daily after a 2-week placebo run-in period.",multicenter double-blind parallel-group study 218 patients chf york heart association class ii iii impaired left ventricular function ejection fraction 40% pulmonary capillary wedge pressure 13 mm hg randomly assigned 12 weeks treatment placebo =44 candesartan cilexetil 2 = 45 4 = 46 8 = 39 16 = 44 daily 2-week placebo run-in period,C0439743|C0013072|C2348042|C0557651|C1442061|C0030705|C0018802|G0000000|C0018787|C0004083|C0456387|G0000000|C0439070|C0221099|C0205091|C0018827|C0031843|C0302131|C1264633|C0450371|C0024109|C0006901|C0439639|C0033095|C0450371|G0000000|C0025424|G0000000|C1516050|C0450371|C0439230|C0039798|C0032042|C0450371|C0717550|G0000000|G0000000|G0000000|C0450371|G0000000|G0000000|C0450371|G0000000|G0000000|C0450371|C0450371|G0000000|C0450371|C0332173|C0332174|C0032042|C3274438|C0439531
Three thousand ten patients with operable node-positive breast cancer were randomly assigned to receive adjuvant anthracycline-based chemotherapy with or without docetaxel.,ten patients operable node-positive breast cancer randomly assigned receive adjuvant anthracycline-based chemotherapy docetaxel,C0014518|C0030705|C0205188|C0746319|C0006141|C0006826|G0000000|C1516050|C1514756|C0001551|C0003234|C0013216|C0246415
"Each patient received an infusion of either IVIG or placebo (4% dextrose, 0.18% normal saline) at a dose of 1 g/kg on days 0 and 1 (maximum, 60 g) and then 0.4 mg/kg on days 14 and 28.",patient received infusion ivig placebo 4% dextrose 018% normal saline dose 1 g/kg days 0 1 maximum 60 04 mg/kg days 14 28,C0030705|C1514756|C0574032|C0085297|C0032042|G0000000|C0017725|C1442061|C0205307|C0036082|C0178602|G0000000|C1300563|C0439228|G0000000|G0000000|C0806909|C0450371|C0450371|C0439272|C0439228|C0450371|C0450371
"For patients whose study medications were discontinued either permanently or temporarily, 81 (26.8%) discontinued clopidogrel or aspirin patients received nonstudy warfarin, 94 (55.6%) discontinued warfarin patients received nonstudy aspirin, and 72 (48.0%) discontinued clopidogrel patients received nonstudy aspirin.",patients study medications discontinued permanently temporarily 81 268% discontinued clopidogrel aspirin patients received nonstudy warfarin 94 556% discontinued warfarin patients received nonstudy aspirin 72 480% discontinued clopidogrel patients received nonstudy aspirin,C0030705|C0557651|C0013227|C1444662|G0000000|G0000000|C0450371|C1442061|C1444662|C0070166|C0004057|C0030705|C1514756|G0000000|C0043031|C0450371|C1442061|C1444662|C0043031|C0030705|C1514756|G0000000|C0004057|C0450371|C1442061|C1444662|C0070166|C0030705|C1514756|G0000000|C0004057
"Regarding cardiac toxicity, trastuzumab treatment was stopped if LVEF dropped below 45%, or if LVEF was between 45% and 50% together with a relative decrease of 15% or more.",cardiac toxicity trastuzumab treatment stopped lvef dropped 45% lvef 45% 50% relative decrease 15%,C0018787|C0040539|C0728747|C0039798|C1272691|C0428772|C1705648|C0450371|C0428772|C0450371|C0450371|C0080103|C0392756|C0450371
"A limitation of this study could be that the licensed doses of doxorubicin and epirubin differ; therefore, different (prospectively dened) doses of dexrazoxane had to be administered according to the anthracycline treatment regimen (20:1 dexrazoxane: doxorubicin or 10:1 dexrazoxane:epirubicin dose ratio).",limitation study licensed doses doxorubicin epirubin prospectively dened doses dexrazoxane administered anthracycline treatment regimen 201 dexrazoxane doxorubicin 101 dexrazoxaneepirubicin dose ratio,C0449295|C0557651|C0023636|C0178602|C0013089|G0000000|G0000000|G0000000|C0178602|C0086444|C1521801|C0003234|C0039798|C0040808|C1442061|C0086444|C0013089|C1442061|G0000000|C0178602|C0456603
"Of the 1587 patients randomized, 523 received aspirin, 524 received clopidogrel, and 540 received warfarin.",1587 patients randomized 523 received aspirin 524 received clopidogrel 540 received warfarin,G0000000|C0030705|C0034656|C1442061|C1514756|C0004057|C1442061|C1514756|C0070166|C1442061|C1514756|C0043031
"In a randomized manner, telephone dispatchers gave bystanders at the scene of apparent cardiac arrest instructions in either chest compression alone or chest compression plus mouthto-mouth ventilation.",randomized manner telephone dispatchers bystanders scene apparent cardiac arrest instructions chest compression chest compression mouthto-mouth ventilation,C0034656|G0000000|C0039457|G0000000|G0000000|G0000000|C0750489|C0018787|C0237477|C0302828|C0817096|C0332459|C0817096|C0332459|C0226896|C0035203
The control group received an information session provided by the cardiac rehabilitation coordinator and then follow-up care by either their cardiologist or general practitioner.,control received session provided cardiac rehabilitation coordinator follow-up care cardiologist practitioner,C0243148|C1514756|C1883016|C1999230|C0018787|C0034991|C1711307|C0589120|C1947933|C0175906|C1709627
"The patients were randomly assigned in two groups (N = 10) to receive or not dexrazoxane hydrochloride (Cardioxane, Chiron, Amsterdam, The Netherlands), given intravenously (400 mg/m2) over 15 min, immediately after the cyclophosphamideepirubicin infusion.",patients randomly assigned = 10 receive dexrazoxane hydrochloride cardioxane chiron amsterdam netherlands intravenously 400 mg/m2 15 min cyclophosphamideepirubicin infusion,C0030705|G0000000|C1516050|G0000000|C0450371|C1514756|C0086444|C1512523|C0524711|C1504071|G0000000|C0027778|G0000000|C1442061|C0026410|C0450371|C0702093|G0000000|C0574032
"Either the reversed vein or a stretched thin-walled 6-mm polytetrauoroethylene (W. L. Gore, Flagstaff, Ariz) prosthesis was used.",reversed vein stretched thin-walled 6-mm polytetrauoroethylene gore flagstaff ariz prosthesis,C1555029|C0042449|C1883175|C0205168|G0000000|G0000000|G0000000|G0000000|G0000000|C0175649
A randomized cross-over design was used to determine the effect of a longer KC condition (30 minutes of KC before and throughout heel stick; KC30) and a shorter KC condition (15 minutes of KC before and throughout heel stick; KC15) compared with standard incubator care (IC) during heel stick.,randomized cross-over design determine kc condition 30 minutes kc heel stick kc30 shorter kc condition 15 minutes kc heel stick kc15 compared standard incubator care ic heel stick,C0034656|C0010366|C1707689|G0000000|C0022575|C0012634|C0450371|C0439232|C0022575|C0018870|C1706582|G0000000|C1282927|C0022575|C0012634|C0450371|C0439232|C0022575|C0018870|C1706582|G0000000|C1707455|C1442989|C0021178|C1947933|C0020750|C0018870|C1706582
"The grafts applied were either a 6-mm externally supported thin wall uoropolymer coated knitted polyester (P-EXS) or a 6-mm externally unsupported thin wall knitted polyester (P-non-EXS) (both Fluoropassiv, Sulzer Vascutek, Inchinnan Renfrewshire, Scotland, United Kingdom).",grafts applied 6-mm externally supported thin wall uoropolymer coated knitted polyester p-exs 6-mm externally unsupported thin wall knitted polyester p-non-exs fluoropassiv sulzer vascutek inchinnan renfrewshire scotland united kingdom,C0332835|C4048755|G0000000|C0205101|C1521721|C0205168|C0677535|G0000000|C1522408|C0868977|C0032474|C0369773|G0000000|C0205101|G0000000|C0205168|C0677535|C0868977|C0032474|C0369773|G0000000|G0000000|G0000000|G0000000|G0000000|C0036453|C0166872|C1708611
"20 patients were scheduled to receive 3 g L-carnitine before each chemotherapy cycle, followed by 1 g L-carnitine/day during the following 21 days, while 20 patients received a placebo (randomized controlled trial).",20 patients scheduled receive 3 l-carnitine chemotherapy cycle 1 l-carnitine/day 21 days 20 patients received placebo randomized controlled trial,C0450371|C0030705|C0086960|C1514756|G0000000|C0087163|C0013216|C1511572|G0000000|C0475219|C0450371|C0439228|C0450371|C0030705|C1514756|C0032042|C0034656|C2587213|C0008976
"After the 12-week intervention or control condition, T2 measures were taken at the physical function laboratory, and intervention participants received telephone calls weekly, then bimonthly, and at the end of 3 months to monitor walking progress and or depressive symptoms.",12-week intervention control condition t2 measures physical function laboratory intervention participants received telephone calls weekly bimonthly 3 months monitor walking progress depressive symptoms,C0450371|C0886296|C0243148|C0012634|C0041403|C0079809|C0031809|C0031843|C0022877|C0886296|C0679646|C1514756|C0039457|C0679006|C0332174|C0585337|G0000000|C0439231|C0030695|C0080331|C1272688|G0000000|C0683368
"After 12 weeks, the telephonic feedback was terminated and the patients were advised to continue their training with the heart rate monitor.",12 weeks telephonic feedback terminated patients advised continue training heart rate monitor,C0450371|C0439230|C0039457|C0015744|C1553404|C0030705|G0000000|C0549178|C0040607|C0018787|C0871208|C0030695
"To determine whether dexrazoxane decreases doxorubicin-associated injury of cardiomyocytes, we randomly assigned 101 children with ALL to receive doxorubicin alone (30 mg per square meter of body-surface area every three weeks for 10 doses) and 105 to receive dexrazoxane (300 mg per square meter) followed immediately by doxorubicin.",determine dexrazoxane decreases doxorubicin-associated injury cardiomyocytes randomly assigned 101 children receive doxorubicin 30 square meter body-surface weeks 10 doses 105 receive dexrazoxane 300 square meter doxorubicin,G0000000|C0086444|C0442797|C0013089|C3263722|C0225828|G0000000|C1516050|C1442061|C0008059|C1514756|C0013089|C0450371|C0205120|C0475209|C0489451|C0439230|C0450371|C0178602|C1442061|C1514756|C0086444|C1442061|C0205120|C0475209|C0013089
