"The prevalence of heart failure in patients with congenital heart disease is as high as 20%, but prospective clinical studies of the medical treatment are limited.",prevalence heart failure patients congenital heart disease 20% prospective clinical studies medical treatment limited,C0033105|C0018787|C0231174|C0030705|C0009678|C0018787|C0012634|C0450371|C0023981|C0205210|C0947630|C0199168|C0039798|C0439801
"Infants  were  excluded  if  they  had  any  of  the  following conditions:  congenital  or  neurological  anomalies,  grade  III or  IV  intraventricular  hemorrhage,  surgery,  signs  of  heel tissue  breakdown  or  inammation/necrosis,  medically unstable,  required  oxygen  or  respiratory  support,  or mother  had  a  history  of  drug  abuse  during  pregnancy.",infants excluded conditions congenital neurological anomalies grade iii iv intraventricular hemorrhage surgery signs heel tissue breakdown inammation/necrosis medically unstable required oxygen respiratory support mother history drug abuse pregnancy,C0021270|C1554077|C0012634|C0009678|C0205494|C0000769|C0441800|C0439070|C0022326|C1517569|C0019080|C0038894|C0220912|C0018870|C0040300|C0443161|C0027540|G0000000|C0443343|C1514873|C0030054|C0521346|C0183683|C0026591|C0019664|C0013227|C0013146|C0032961
"Exclusion criteria were as follows: age <18 or >75 years, ejection fraction <30%, left atrial size >55 mm, absence of informed patient consent, and any condition that would make survival for 1 year unlikely.",exclusion criteria age <18 75 ejection fraction <30% left atrial size 55 mm absence informed patient consent condition survival 1,C0680251|C0243161|C0001779|C0450371|C0450371|C0302131|C1264633|C0450371|C0205091|C0018792|C0456389|C0450371|G0000000|C0332197|C1522154|C0030705|C1511481|C0012634|C0038952|G0000000
Male and female preterm infants at 3032 weeks GA and 29 days postnatal age were recruited using convenience sampling for two pilot studies from a community-based Level II NICU in a three-city metropolis in Washington state.,male female preterm infants 3032 weeks ga 29 days postnatal age recruited convenience sampling pilot studies community-based level ii nicu three-city metropolis washington,C0086582|C0015780|C0151526|C0021270|G0000000|C0439230|C0016993|C0450371|C0439228|C0443281|C0001779|G0000000|C3831015|C0441621|C0473169|C0947630|C0009462|C0441889|G0000000|C0021709|C0205449|G0000000|C0043038
"General practices in Northern Ireland and the Republic of Ireland, regions with different healthcare systems.",practices northern ireland republic ireland regions healthcare systems,C0237607|C1709269|C0022067|G0000000|C0022067|C0017446|C0086388|C0449913
"85%  of  patients  were  aged 65 years  and  older,  mean  left-ventricular  ejection fraction  was  31%,  69%  were  men,  and  79%  had  a history  of  ischaemic  heart  disease.",85% patients aged 65 left-ventricular ejection fraction 31% 69% 79% history ischaemic heart disease,C0450371|C0030705|C0001779|C0450371|C0225897|C0302131|C1264633|C0450371|C0450371|C0450371|C0019664|C0475224|C0018787|C0012634
"The National Institutes of Health is currently sponsoring a multisite clinical trial titled Heart Failure: A Controlled Trial Investigating Outcomes of Exercise Training (HF-ACTION) that has 3000 as an enrollment target.29 For the first 3 months, participants exercise 3 times weekly at a participating institution and then continue their customized exercise regimen at home for up to 3 years using a treadmill or stationary bicycle.",national institutes health sponsoring multisite clinical trial titled heart failure controlled trial investigating outcomes exercise training hf-action 3000 enrollment target29 3 months participants exercise 3 times weekly participating institution continue customized exercise regimen 3 treadmill stationary bicycle,C3245503|C0021622|C0018684|C1711305|G0000000|C0205210|C0008976|C1519530|C0018787|C0231174|C2587213|C0008976|C1292732|C1274040|C0015259|C0040607|C0018488|G0000000|C1516879|G0000000|G0000000|C0439231|C0679646|C0015259|G0000000|C0040223|C0332174|C0679823|C0018704|C0549178|C1880202|C0015259|C0040808|G0000000|C0184069|C0439835|C0005375
"Female sex, diabetes, smoking, sheath to radial artery mismatch and low BMI are considered predisposing factors for radial artery spasm (20).",female sex diabetes smoking sheath radial artery mismatch low bmi considered predisposing factors radial artery spasm 20,C0015780|C0009253|C0011847|C0037369|C0227952|C0442038|C0003842|C1881865|C0205251|G0000000|C0750591|C0231203|C1521761|C0442038|C0003842|C0026821|C0450371
Patients were in NYHA class II (59%) and III (41%).,patients nyha class ii 59% iii 41%,C0030705|G0000000|C0456387|G0000000|C0450371|C0439070|C0450371
"least 18 years of age, were hospitalized in a cardiac intensive care unit for an ACS (unstable angina, ST-segment elevation myocardial infarction, or nonST-segment elevation myocardial infarction), and had at least 1 of the following educationmodifiable risk factors: current smoking (for 12 months), sedentary lifestyle (<3 hours of physical activity per week), or overweight or obesity (body mass index 25 for overweight or 30 for obesity, calculated as weight in kilograms divided by height in meters squared).",18 age hospitalized cardiac intensive care unit acs unstable angina st-segment elevation myocardial infarction nonst-segment elevation myocardial infarction 1 educationmodifiable risk factors current smoking 12 months sedentary lifestyle <3 hours physical activity week overweight obesity body mass 25 overweight 30 obesity calculated weight kilograms divided height meters squared,C0450371|C0001779|C0701159|C0018787|C0162425|C1947933|C0439148|G0000000|C0443343|C0002962|C0429029|C0439775|C0027061|C0021308|C0441635|C0439775|C0027061|C0021308|G0000000|G0000000|C0035647|C1521761|C0521116|C0037369|C0450371|C0439231|C0205254|C0023676|G0000000|C0439227|C0031809|C0205177|C0332174|C0497406|C0028754|C0242821|C0577559|C0450371|C0497406|C0450371|C0028754|C0444686|C0005910|C0439209|C0332849|C0489786|C0441074|C0205120
"Twenty infants with an age up to 3 months referred to our hospital between 9 / 1997 and 2 / 2000, exceeding a score of 6 points using Ross heart failure score [12], entered the trial (Fig. 1 ).",twenty infants age 3 months referred hospital 9 / 1997 2 / 2000 exceeding score 6 ross heart failure score 12 entered trial fig 1,C0724000|C0021270|C0001779|G0000000|C0439231|C0205543|C0019994|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|G0000000|C0449820|G0000000|C0331968|C0018787|C0231174|C0449820|C0450371|C1521975|C0008976|C0349966|G0000000
"In order to be enrolled in the study, the patients had to be aged between 20 and 75 years with symptomatic HF, in NYHA class II  IV and an ejection fraction (EF) < 35% measured echocardiographically by the area  length method or Simpsons rule, or by radionuclide or angiocardiographic ventriculography.",enrolled study patients aged 20 75 symptomatic hf nyha class ii iv ejection fraction ef < 35% measured echocardiographically length method simpsons rule radionuclide angiocardiographic ventriculography,G0000000|C0557651|C0030705|C0001779|C0450371|C0450371|C0231220|C0018488|G0000000|C0456387|G0000000|C0022326|C0302131|C1264633|G0000000|G0000000|C0450371|C0444706|G0000000|C1444754|C0025663|G0000000|C0805874|C0034595|C0002971|C0007800
"In a multicenter pilot trial, 50 patients with myocardial infarction requiring either primary or rescue PCI were randomized to radial or femoral access.",multicenter pilot trial 50 patients myocardial infarction requiring primary rescue pci randomized radial femoral access,C0439743|C0473169|C0008976|C0450371|C0030705|C0027061|C0021308|G0000000|C0205225|G0000000|C4049621|C0034656|C0442038|C0015811|C0444454
Patients and Methods    &    For the cooperative treatment study COALL-92 children age 1  18  years were eligible with newly diagnosed B-Precursor ALL or TALL.,patients methods cooperative treatment study coall-92 children age 1 18 eligible newly diagnosed b-precursor tall,C0030705|C0025663|C0679729|C0039798|C0557651|C0450371|C0008059|C0001779|G0000000|C0450371|C1548635|C0750546|C0011900|C1709634|C0023493
"To be eligible, they had to have been receiving for at least two weeks a fixed-dose drug regimen that could include ACE inhibitors, diuretics, digoxin, and beta-blockers.",eligible receiving weeks fixed-dose drug regimen ace inhibitors diuretics digoxin beta-blockers,C1548635|C1514756|C0439230|C0443218|C0013227|C0040808|C1452534|C0243077|C0012798|C0012265|C0001645
