"Participants were randomized to receive 60 mg denosumab (Prolia®; Amgen Inc., Thousand Oaks, CA) or placebo subcutaneously every 6 months for 3 years, in addition to daily calcium (_1 g) and vitamin D (_400 IU).","Participants randomized receive 60 denosumab (Prolia®; Amgen Inc., Thousand Oaks, CA) placebo subcutaneously 6 months 3 years, addition daily calcium (_1 g) vitamin D (_400 IU).",C0679646|C0034656|C1514756|C0450371|C1690432|G0000000|C0331771|G0000000|C1883310|C0330302|C3887642|C0032042|G0000000|G0000000|C0439231|G0000000|C0439234|C0332287|C0332173|C0006675|G0000000|C0439267|C0042890|C0073187|G0000000|C0049272
"In 20 of them, surgical navigation was used, whereas the other 20 were performed with conventional jig-based technique.","In 20 them, surgical navigation used, 20 performed conventional jig-based technique.",G0000000|C0450371|G0000000|C0543467|C2827562|C1273517|C0450371|C0884358|C0439858|C1527178|C0449851
"All patients were treated prophylactically with a single dose of dicloxacillin (2 g intravenously) and all received prophylactic thrombotic medication (fondaparinux 2.5 g subcutaneously once, for 5_7 days).","All patients treated prophylactically single dose dicloxacillin (2 intravenously) received prophylactic thrombotic medication (fondaparinux 2.5 subcutaneously once, 5_7 days).",G0000000|C0030705|C1522326|G0000000|C0037179|C0178602|C0012093|G0000000|G0000000|C1514756|C0355642|C0087086|C0013227|C1098510|G0000000|G0000000|G0000000|G0000000|C0439228
"Of the 17 patients with OI reported here, 10 received treatment with bisphosphonates: 5 received only pamidronate intravenously (patients 1, 2, 9, 12, and 16), 1 adult (patient 3) and 1 pediatric patient (patient 14) received only oral alendronate, and another 2 adults (patients 8 and 15) received both oral and intravenous treatments in succession (alendronate and pamidronate or zoledronic acid).","Of 17 patients OI reported here, 10 received treatment bisphosphonates: 5 received pamidronate intravenously (patients 1, 2, 9, 12, 16), 1 adult (patient 3) 1 pediatric patient (patient 14) received oral alendronate, 2 adults (patients 8 15) received oral intravenous treatments succession (alendronate pamidronate zoledronic acid).",G0000000|C0450371|C0030705|C0029434|C0684224|G0000000|C0450371|C1514756|C0039798|C0012544|G0000000|C1514756|C0043603|G0000000|C0030705|G0000000|G0000000|G0000000|C0450371|C0450371|G0000000|C0001675|C0030705|G0000000|G0000000|C0030755|C0030705|C0030705|C0450371|C1514756|C0442027|C0102118|G0000000|C0001675|C0030705|G0000000|C0450371|C1514756|C0442027|C0348016|C0087111|G0000000|C0102118|C0043603|C1177229|C0001128
Thereafter 3 doses of 2__ cephalotin were administered on the day of surgery.,Thereafter 3 doses 2__ cephalotin administered day surgery.,G0000000|G0000000|C0178602|G0000000|C0007735|C1521801|C0332173|C0038894
"Between 2009 and 2011, we treated 11 patients who had been treated for juxtaarticular osteosarcoma in the proximal tibia by microwave ablation-aided joint preserving surgery.","Between 2009 2011, treated 11 patients treated juxtaarticular osteosarcoma proximal tibia microwave ablation-aided joint preserving surgery.",G0000000|G0000000|G0000000|C1522326|C0450371|C0030705|C1522326|G0000000|C0029463|C0205107|C0040184|C0026051|C0547070|C0022417|C0728887|C0038894
"Subjects were considered to be taking anti-osteoporosis medication if they reported current use of alendronate, calcitonin, estrogen, etidronate, ibandronate, pamidronate, recombinant human parathyroid hormone (1_84), raloxifene, risedronate, strontium ranelate, teriparatide, tibolone or zoledronic acid.","Subjects considered anti-osteoporosis medication reported current alendronate, calcitonin, estrogen, etidronate, ibandronate, pamidronate, recombinant human parathyroid hormone (1_84), raloxifene, risedronate, strontium ranelate, teriparatide, tibolone zoledronic acid.",C0681850|C0750591|C0029456|C0013227|C0684224|C0521116|C0102118|C0006668|C0014939|C0086268|C0379199|C0043603|C1514798|C0086418|C0030518|C0019932|G0000000|C0244404|C0246719|C0038467|G0000000|C0070093|C0076660|C1177229|C0001128
All patients had conventional radiographs taken at 10 years.,All patients conventional radiographs 10 years.,G0000000|C0030705|C0439858|C1306645|C0450371|C0439234
The extension includes two populations: those who had received denosumab for 3 years during the core trial (long-term group) and those who had received placebo for 3 years during the core trial (cross-over group).,The extension includes populations: received denosumab 3 core trial (long-term group) received placebo 3 core trial (cross-over group).,G0000000|C0231448|C0332257|C0032659|C1514756|C1690432|G0000000|C0444669|C0008976|C0443252|C0441833|C1514756|C0032042|G0000000|C0444669|C0008976|C0010366|C0441833
Forced vital capacity (FVC) and forced expiratory volume in 1 second (FEV1) were recorded at rest and after exercise in three conditions: (1) no TLSO (control); (2) TLSO (closed); and (3) TLSO (open).,Forced vital capacity (FVC) forced expiratory volume 1 (FEV1) recorded rest exercise conditions: (1) TLSO (control); (2) TLSO (closed); (3) TLSO (open).,C0441722|C0442732|C1516240|C3714541|C0441722|C0231800|C0449468|G0000000|G0000000|C0034869|C0035253|C0015259|C0012634|G0000000|G0000000|C0243148|G0000000|G0000000|C0587267|G0000000|G0000000|C0175566
