"Five-year cumulative fracture rate was estimated using the Kaplan-Meier method, and adjusted hazard ratios for weight loss as a time-varying covariate were calculated from Cox multiple regression models.","Five-year cumulative fracture rate estimated Kaplan-Meier method, adjusted hazard ratios weight loss time-varying covariate calculated Cox multiple regression models.",C0205451|C1511559|C0016658|C0871208|C0750572|G0000000|C0025663|C0456081|C0598697|C0456603|C0005910|C1517945|C0040223|G0000000|C0444686|G0000000|C0439064|C0684320|C3161035
"Reports of fracture were followed up by study staff to determine date, description of how the fracture occurred, and any trauma that resulted in the fracture.","Reports fracture study staff determine date, description fracture occurred, trauma fracture.",C0684224|C0016658|C0557651|C0851286|G0000000|C0011008|C0678257|C0016658|C1709305|C0043251|C0016658
"Currently, we await the longer-term clinical and radiostereometric results.","Currently, await longer-term clinical radiostereometric results.",C0521116|G0000000|C0443252|C0205210|C3178874|C1274040
"For radiographic imaging, we used high-definition digital plates (Agfa CR MD 4.0) and for plate reading we used the ADC compact digitizer (Agfa).","For radiographic imaging, high-definition digital plates (Agfa CR MD 4.0) plate reading ADC compact digitizer (Agfa).",G0000000|C0444708|C0011923|C0205250|C0442015|C1139930|C2642841|C0201975|G0000000|G0000000|C0005971|C0034754|C0879593|C1333134|C1707747|C2642841
"To illustrate the association between the GRS63 and BMD, all subjects were grouped into five bins according to their GRS63 as earlier described by Estrada et al (15).","To illustrate association GRS63 BMD, subjects bins GRS63 earlier Estrada al (15).",C0040363|G0000000|C0004083|G0000000|G0000000|C0681850|C3484123|G0000000|C1279919|G0000000|C0202311|C0450371
There were 2 revisions in each group at 10 years.,There 2 revisions 10 years.,G0000000|G0000000|C0439616|C0450371|C0439234
"Computer-assisted surgery (CAS) in total knee arthroplasty (TKA) has been used in recent years in the hope of improving the alignment and positioning of the implant, thereby achieving a better functional outcome and durability.","Computer-assisted surgery (CAS) total knee arthroplasty (TKA) hope improving alignment positioning implant, achieving functional outcome durability.",C2362103|C0038894|G0000000|C0439175|C0022742|C0003893|G0000000|C0392347|C1272745|C1706765|C0150305|C0021102|G0000000|C0205245|C1274040|G0000000
"In addition, until day 7 at those same time points, the numerical rating scale (NRS 0_10) was used for pain score at rest and during activity (first 12 h after surgery: trying to raise leg from the mattress; after 12 h: walking).","In addition, day 7 time points, numerical rating scale (NRS 0_10) pain score rest activity (first 12 surgery: raise leg mattress; 12 h: walking).",G0000000|C0332287|C0332173|G0000000|C0040223|C1552961|C0237753|C0871208|C0175659|C2240043|G0000000|C0030193|C0449820|C0035253|C0205177|C0205435|C0450371|C0038894|G0000000|C0023216|C0024940|C0450371|C0033727|C0080331
A power analysis was done before the start of the study using Oxycodone consumption as the primary endpoint.,A power analysis start study Oxycodone consumption primary endpoint.,G0000000|C0032863|C0002778|C0439659|C0557651|C0030049|C0009830|C0205225|C2349179
"Areal BMD assessment by DXA has limitations in predicting fracture, and is particularly subject to inaccuracies in the settings of obesity(12,13) and weight fluctuations.","Areal BMD assessment DXA limitations predicting fracture, subject inaccuracies settings obesity(12,13) weight fluctuations.",C0017446|G0000000|C1261322|C1510486|C0449295|G0000000|C0016658|C0681850|C0443236|C0542559|C0028754|C0005910|C0231239
"No statistically significant differences were found for the operation time and the length of stay between the groups (Table 4, see Supplementary data).","No statistically differences operation time length stay (Table 4, Supplementary data).",G0000000|C0038215|C1705241|C0543467|C0040223|C1444754|G0000000|C0039224|G0000000|G0000000|C1511726
"Tests of the conditional likelihood ratio comparing item parameter estimates in different subpopulations defined by total scores on the EORTC nausea scale, by different time points and by values of exogenous covariates, revealed evidence against the Rasch models (c2 = 17.7, df = 8, p = 0.02).","Tests conditional likelihood ratio comparing item parameter estimates subpopulations defined total scores EORTC nausea scale, time values exogenous covariates, revealed evidence Rasch models (c2 = 17.7, df = 8, = 0.02).",C0022885|C1701901|C0033204|C0456603|C1707455|C1551338|C0549193|C0750572|C1257890|C1704788|C0439175|C0449820|C1516985|C0027497|C0175659|C0040223|C0042295|C0205101|G0000000|C0443289|C3887511|G0000000|C3161035|G0000000|G0000000|C0450371|G0000000|G0000000|G0000000|G0000000|C0450371
Osteoporosis is a chronic disease requiring long-term treatment.,Osteoporosis chronic disease requiring long-term treatment.,C0029456|C0205191|C0012634|G0000000|C0443252|C0039798
