"Significant increases were seen in women with unintentional weight loss versus women without weight loss for any fracture and for fracture of the clavicle, wrist, spine, rib, hip and pelvis.","Significant increases women unintentional weight loss versus women weight loss fracture fracture clavicle, wrist, spine, rib, hip pelvis.",C0237881|C0205217|C0043210|C1283932|C0005910|C1517945|G0000000|C0043210|C0005910|C1517945|C0016658|C0016658|C0008913|C0043262|C0037949|C0035561|C0019552|C0030797
"Therefore, women with anorexia nervosa had higher estimated vertebral fracture risk (Φ) for holding and bending because of inferior vertebral strength.","Therefore, women anorexia nervosa estimated vertebral fracture risk (Φ) holding bending inferior vertebral strength.",G0000000|C0043210|C0003123|G0000000|C0750572|C0549207|C0016658|C0035647|G0000000|G0000000|C0011119|C0542339|C0549207|C0237897
All patients had improved function and regained full extension.,All patients improved function regained extension.,G0000000|C0030705|C0184511|C0031843|C1875723|C0231448
We found similar migration of the tibial component in TKAs operated using computer-aided surgery and in TKAs operated using conventional technique.,We migration tibial component TKAs operated computer-aided surgery TKAs operated conventional technique.,G0000000|C0600210|C0040184|C0449432|G0000000|C3242339|C0009622|C0038894|G0000000|C3242339|C0439858|C0449851
"GRS63 is associated with BMD, but not BMD change, suggesting that the genetic determinants of BMD differ from those of BMD change.","GRS63 BMD, BMD change, suggesting genetic determinants BMD BMD change.",G0000000|G0000000|G0000000|C0392747|C1705535|C0017296|C1521761|G0000000|G0000000|C0392747
We found better wear properties with alumina heads than with cobalt-chrome heads.,We wear properties alumina heads cobalt-chrome heads.,G0000000|G0000000|C0871161|C0002374|C0018670|C0008576|C0018670
"In conclusion, the results of our study indicate that unintentional weight loss in postmenopausal women is associated with increased fracture risk at several sites.","In conclusion, study unintentional weight loss postmenopausal women increased fracture risk sites.",G0000000|C1707478|C0557651|C1283932|C0005910|C1517945|C0232970|C0043210|C0205217|C0016658|C0035647|C0205145
Our study also showed that the pulmonary restrictions caused by wearing a TLSO could be reduced for healthy adults when an abdominal cutout (open) was added to the orthotic fabrication.,Our study pulmonary restrictions caused wearing TLSO reduced healthy adults abdominal cutout (open) orthotic fabrication.,G0000000|C0557651|C0024109|C0443288|C0015127|G0000000|G0000000|C0392756|C3898900|C0001675|C0000726|C0454147|C0175566|C0813253|G0000000
"In patients who underwent surgery for IDH, the overall reoperation rate was 15% at the eight-year follow-up.","In patients underwent surgery IDH, reoperation rate 15% eight-year follow-up.",G0000000|C0030705|G0000000|C0038894|C2697642|C0035110|C0871208|C0450371|C0205454|C0589120
Our PAI protocol showed pain control similar to a femoral nerve block while avoiding motor block with its functional impact.,Our PAI protocol pain control femoral nerve block avoiding motor block functional impact.,G0000000|C1620101|C0442711|C0030193|C0243148|C0015811|C0027740|C0028778|G0000000|C1513492|C0028778|C0205245|C1825598
