Inclusion criteria for the study were patients with symp- tomatic knee osteoarthritis.,Inclusion criteria study patients symp- tomatic knee osteoarthritis.,C0007637|C0243161|C0557651|C0030705|G0000000|G0000000|C0022742|C0029408
"Details of the MrOS study design and recruitment have been published elsewhere (23, 24) After excluding men reporting osteoporotic medication, 4,487 men who reported non-Hispanic white race, had DNA available for genotyping and had baseline DXA BMD at femoral neck were included in the analyses of baseline BMD and fracture risk.","Details MrOS study design recruitment published (23, 24) After excluding reporting osteoporotic medication, 4,487 reported non-Hispanic white race, DNA genotyping baseline DXA BMD femoral neck included analyses baseline BMD fracture risk.",C1522508|C0025235|C0557651|C1707689|C2949735|C0034037|C0450371|C0450371|G0000000|C0332196|C0700287|G0000000|C0013227|C1442061|C0684224|C1518424|C0007457|C0034510|C0012854|C1285573|C0168634|C1510486|G0000000|C0015811|C0027530|C0332257|C0002778|C0168634|G0000000|C0016658|C0035647
"In women enrolled in the Study of Osteoporotic Fractures, weight loss of _10% was associated with a 68% increase in the risk of non-spine fracture (defined as hip, pelvis, and humerus) over an average follow-up of 19.5 months.","In women enrolled Study Osteoporotic Fractures, weight loss _10% 68% increase risk non-spine fracture (defined hip, pelvis, humerus) average follow-up 19.5 months.",G0000000|C0043210|G0000000|C0557651|G0000000|C0016658|C0005910|C1517945|G0000000|C0450371|C0442805|C0035647|C1518422|C0016658|C1704788|C0019552|C0030797|C0020164|C1510992|C0589120|C0450371|C0439231
39 patients (43 hips) with osteoarthritis were included in a study with 10-year follow-up.,39 patients (43 hips) osteoarthritis included study 10-year follow-up.,C0450371|C0030705|C0450371|C0019552|C0029408|C0332257|C0557651|C0450371|C0589120
The study subjects (men 69_80 yr of age) were randomly identified using national population registers.,The study subjects (men 69_80 yr age) randomly identified national population registers.,G0000000|C0557651|C0681850|C0025266|G0000000|C0439234|C0001779|G0000000|C0205396|C3245503|C0032659|C0600375
"Individuals taking osteoporotic medicine (bisphosphonates, selective estrogen receptor modulators, calcitonin, strontium ranelate, parathyroid hormone) were excluded.","Individuals osteoporotic medicine (bisphosphonates, selective estrogen receptor modulators, calcitonin, strontium ranelate, parathyroid hormone) excluded.",C0027361|G0000000|C0013227|C0012544|C0036576|C0014939|C0597357|C1709060|C0006668|C0038467|G0000000|C0030518|C0019932|C1554077
"There were six boys and five girls with a mean age of 12 years (range, 9_16 years) in this series.","There boys girls age 12 (range, 9_16 years) series.",G0000000|C0870221|C0870604|C0001779|C0450371|C1514721|G0000000|C0439234|C0205549
Women enrolled in the study were 99% Caucasian with African American women initially excluded from the study due to their low incidence of hip fractures.,Women enrolled study 99% Caucasian African American women initially excluded study low incidence hip fractures.,C0043210|G0000000|C0557651|C0450371|C0007457|C0027567|C0596070|C0043210|C0205265|C1554077|C0557651|C0205251|C0021149|C0019552|C0016658
"Exclusion criteria were prior lumbar spine surgery, cauda equina syndrome, substantial deformity, vertebral fractures, inflammatory spondyloarthropathy, pregnancy, and other contraindications for elective surgery.","Exclusion criteria prior lumbar spine surgery, cauda equina syndrome, substantial deformity, vertebral fractures, inflammatory spondyloarthropathy, pregnancy, contraindications elective surgery.",C0680251|C0243161|C0332152|C0024090|C0037949|C0038894|C0205097|C0017589|C0039082|G0000000|C0000768|C0549207|C0016658|C0333348|C0949690|C0032961|C0079164|C0206058|C0038894
"In a prospective, parallel-group, randomized unblinded clinical trial, we compared cementless tibial components in patients aged 70 years and younger with osteoarthritis.","In prospective, parallel-group, randomized unblinded clinical trial, compared cementless tibial components patients aged 70 osteoarthritis.",G0000000|C0023981|C2348042|C0034656|G0000000|C0205210|C0008976|C1707455|G0000000|C0040184|C0449432|C0030705|C0001779|C0450371|C0029408
"The cohort is comprised of 9,704 community dwelling women 65 years old or older recruited from populations-based listings in four U.S. areas: Baltimore, Maryland; Minneapolis, Minnesota; Portland, Oregon; and the Monongahela Valley, Pennsylvania.","The cohort comprised 9,704 community dwelling women 65 recruited populations-based listings U.S. areas: Baltimore, Maryland; Minneapolis, Minnesota; Portland, Oregon; Monongahela Valley, Pennsylvania.",G0000000|C0599755|C2700400|C1442061|C0009462|C0442519|C0043210|C0450371|G0000000|C0032659|G0000000|C0041703|C0205146|C0004716|C0024858|G0000000|C0026183|G0000000|C0029195|G0000000|C0563004|C0030853
"Between 2009 and 2011, we treated 11 patients who had juxtaarticular osteosarcoma of the proximal tibia (mean age, 12 years; range, 9-16 years) with joint-preserving surgery by transepiphysis tumor resection after navigation-assisted microwave ablation of the tumor edge; they were followed a minimum of 37 months (mean, 48 months; range 37-62 months), and none was lost to followup.","Between 2009 2011, treated 11 patients juxtaarticular osteosarcoma proximal tibia (mean age, 12 years; range, 9-16 years) joint-preserving surgery transepiphysis tumor resection navigation-assisted microwave ablation tumor edge; minimum 37 months (mean, 48 months; range 37-62 months), lost followup.",G0000000|G0000000|G0000000|C1522326|C0450371|C0030705|G0000000|C0029463|C0205107|C0040184|C0444504|C0001779|C0450371|C0439234|C1514721|C0450371|C0439234|C0022417|C0038894|G0000000|C0027651|C0015252|C2827562|C0026051|C0547070|C0027651|C0205154|C1524031|C0450371|C0439231|C0444504|C0450371|C0439231|C1514721|C0450371|C0439231|C0745777|C0589120
Twenty healthy adults wore a custom-molded TLSO with a reattachable abdominal cutout.,Twenty healthy adults wore custom-molded TLSO reattachable abdominal cutout.,C0724000|C3898900|C0001675|G0000000|C0162343|G0000000|G0000000|C0000726|C0454147
"Exclusions included neuromusculoskeletal, pulmonary, cardiac, spine, or rib dysfunction or any other condition (such as obesity) that would limit a participant__ ability to wear a TLSO or perform a 12-minute walk test.","Exclusions included neuromusculoskeletal, pulmonary, cardiac, spine, rib dysfunction condition (such obesity) limit participant__ ability wear TLSO perform 12-minute walk test.",C0680251|C0332257|G0000000|C0024109|C0018787|C0037949|C0035561|C0031847|C0012634|G0000000|C0028754|C0439801|G0000000|C0085732|G0000000|G0000000|C0884358|C0450371|C0080331|C0022885
"The exclusion criteria were neuromuscular and vascular leg disease, insufficient bone quality for a cementless tibial component, dependency on NSAIDs postoperatively, previous diagnosis of osteoporosis, previous open-wedge tibial osteotomy or other major knee surgery (e.g. cruciate ligament repair), and younger females with a wish to become pregnant within 2 years (coinciding with the follow-up period).","The exclusion criteria neuromuscular vascular leg disease, insufficient bone quality cementless tibial component, dependency NSAIDs postoperatively, previous diagnosis osteoporosis, previous open-wedge tibial osteotomy major knee surgery (e.g. cruciate ligament repair), females pregnant 2 (coinciding follow-up period).",G0000000|C0680251|C0243161|C1979768|C0005847|C0023216|C0012634|C0205412|C0262950|C0332306|G0000000|C0040184|C0449432|C0011546|C0003211|G0000000|C0205156|C0011900|C0029456|C0205156|C0175566|C0040184|C0029468|C0205082|C0022742|C0038894|G0000000|C1179589|C0023685|C0043240|C0015780|C0549206|G0000000|G0000000|C0589120|C0439531
"Between November 2003 and April 2005, 50 patients with primary osteoarthritis of the knee were assessed for eligibility to enter this RCT.","Between November 2003 April 2005, 50 patients primary osteoarthritis knee assessed eligibility enter RCT.",G0000000|C3828767|G0000000|C3715024|G0000000|C0450371|C0030705|C0205225|C0029408|C0022742|C1516048|C0013893|C1522196|G0000000
Orthopedic surgical histories include 7 patients who had undergone at least one long-bone intramedullary rodding (typically tibias and femurs).,Orthopedic surgical histories 7 patients undergone long-bone intramedullary rodding (typically tibias femurs).,C0029355|C0543467|C0019664|G0000000|C0030705|G0000000|C0222647|C1512957|C0035086|G0000000|C0040184|C0015811
