Interpretation  Dexrazoxane  provides  long-term  cardioprotection  without  compromising  oncological  e  cacy  in  doxorubicin-treated  children  with  high-risk  ALL.,interpretation dexrazoxane long-term cardioprotection compromising oncological cacy doxorubicin-treated children high-risk,C0459471|C0086444|C0443252|G0000000|C2945640|C0027651|C1419788|C0013089|C0008059|C0332167
There were no differences in ESR level between the 2 groups at 6 weeks.,differences esr level 2 6 weeks,C1705241|C3811131|C0441889|G0000000|G0000000|C0439230
There was no difference in basic demographics between the 2 groups at enrollment (Table 1).,difference basic demographics 2 enrollment table 1,C1705241|C1527178|C0011298|G0000000|C1516879|C0039224|G0000000
We used comparison of two proportions for response to chemotherapy and toxicity between the amifostine group and the control group.,comparison proportions response chemotherapy toxicity amifostine control,C1707455|C1709707|C0871261|C0013216|C0040539|C0015020|C0243148
"patients with aggressive non-Hodgkin lymphoma (NHL), and the effect of dexrazoxane supplementation.",patients aggressive non-hodgkin lymphoma nhl dexrazoxane supplementation,C0030705|C0001807|C0024305|C0024299|C0024305|C0086444|C0242297
Toxicities were graded according to the World Health Organization (WHO) Common Toxicity Criteria.,toxicities graded health organization common toxicity criteria,C0600688|C0441800|C0018684|C0029237|C0205214|C0040539|C0243161
"Similarly,  subgroup  analysis  showed  dexrazoxane  protection  (p=0046)  for  the  left  ventricular  thickness-to-dimension  ratio  at  5  years  in  girls  (115,  044185),  but  not  in  boys  (019,  042  to  081).",subgroup analysis dexrazoxane protection p=0046 left ventricular thickness-to-dimension ratio 5 girls 115 044185 boys 019 042 081,C1079230|C0002778|C0086444|C1545588|C0369773|C0205091|C0018827|C1280412|C0456603|G0000000|C0870604|C1442061|G0000000|C0870221|C1442061|C1442061|C1442061
"The prolongation of QT dispersion has been linked to an increased heterogeneity of ventricular repolarization and has been shown to be associated with cardiac electrical instability and increased risk of serious cardiac arrhythmias [13, 14].",prolongation qt dispersion linked increased heterogeneity ventricular repolarization cardiac electrical instability increased risk cardiac arrhythmias 13 14,C0439590|C1552934|C0332624|C1517892|C0205217|C0019409|C0018827|G0000000|C0018787|C0013790|C1444783|C0205217|C0035647|C0018787|C0003811|C0450371|C0450371
Such a benefit was predicted if IVIG proved as effective as it is in Kawasaki disease.,benefit predicted ivig proved effective kawasaki disease,C0814225|C0681842|C0085297|G0000000|C1280519|G0000000|C0012634
"Approval was obtained from the Auckland Hospital Board Ethics Committee, and all patients or their parents gave written consent for participation in the study.",approval auckland hospital board ethics committee patients parents written consent participation study,C0205540|G0000000|C0019994|C0972401|C0015000|C2699414|C0030705|C0030551|C0043266|C1511481|C0679823|C0557651
Follow-up to 12 months was completed in the remaining 59 patients who are included in this report.,follow-up 12 months completed remaining 59 patients included report,C0589120|C0450371|C0439231|C0205197|C1527428|C0450371|C0030705|C0332257|C0684224
"Results  219 children with high-risk ALL were assessed, of whom  205  were  enrolled  and  randomly  assigned  treatment  ( gure  1).",219 children high-risk assessed 205 enrolled randomly assigned treatment gure 1,C1442061|C0008059|C0332167|C1516048|C1442061|G0000000|G0000000|C1516050|C0039798|G0000000|G0000000
"We present the results of a randomized, placebo-controlled trial of IVIG as an acute intervention in patients with ARF to determine whether there was a reduction in the extent and severity of carditis, more rapid resolution of inflammatory activity, or decreased chronic morbidity.",randomized placebo-controlled trial ivig acute intervention patients arf determine reduction extent severity carditis rapid resolution inflammatory activity decreased chronic morbidity,C0034656|C1706408|C0008976|C0085297|C0205178|C0886296|C0030705|C0035436|G0000000|C0301630|C0439792|C0439793|C0869523|C0456962|C1514893|C0333348|C0205177|C0205216|C0205191|C0026538
"Address correspondence to Sergio Gallegos-Castorena, Hospital Civil de Guadalajara Dr. Juan I.",address correspondence sergio gallegos-castorena hospital civil de guadalajara dr juan,C0376649|C0282413|C1653876|C1553364|C0019994|G0000000|C0011198|G0000000|C0013014|G0000000
"ConclusionsIVIG did not alter the natural history of ARF, with no detectable difference in the clinical, laboratory, or echocardiographic parameters of the disease process during the subsequent 12 months.",conclusionsivig alter natural history arf detectable difference clinical laboratory echocardiographic parameters disease process subsequent 12 months,G0000000|C0392747|C0205296|C0019664|C0035436|C3830527|C1705241|C0205210|C0022877|C0013516|C0449381|C0012634|C1184743|C0332282|C0450371|C0439231
Figure 3 illustrates individual transmitral E/A ratio changes.,figure 3 illustrates individual transmitral e/a ratio,G0000000|G0000000|G0000000|C0027361|G0000000|G0000000|C0456603
"The 10 patients who underwent supplementation with dexrazoxane exhibited a significant reduction of QT dispersion (67.4  8.1 vs. 49.5  4.2 ms, P < 0.001) and QTc dispersion (71.2  .7 vs. 51.4  4.3 ms, P < 0.001), while the 10 patients not supplemented with dexrazoxane did not (QT dispersion: 69.3  7.6 vs. 64.2  6.9 ms; QTc dispersion: 72.8  8.1 vs. 67.3  7.2 ms, ns).",10 patients underwent supplementation dexrazoxane exhibited reduction qt dispersion 674 81 495 42 ms < 0001 qtc dispersion 712 7 514 43 ms < 0001 10 patients supplemented dexrazoxane qt dispersion 693 76 642 69 ms qtc dispersion 728 81 673 72 ms ns,C0450371|C0030705|G0000000|C0242297|C0086444|C0015272|C0301630|C1552934|C0332624|C1442061|C0450371|C1442061|C0450371|C0039676|G0000000|G0000000|G0000000|C0332624|C1442061|G0000000|C1442061|C0450371|C0039676|G0000000|G0000000|C0450371|C0030705|C0242295|C0086444|C1552934|C0332624|C1442061|C0450371|C1442061|C0450371|C0039676|G0000000|C0332624|C1442061|C0450371|C1442061|C0450371|C0039676|C0038944
"Finally, increased QT dispersion after anthracycline-based chemotherapy may be an autonomic impairment, characterized by a reduction of parasympathetic activity [25].",finally increased qt dispersion anthracycline-based chemotherapy autonomic impairment characterized reduction parasympathetic activity 25,G0000000|C0205217|C1552934|C0332624|C0003234|C0013216|C0004388|C0221099|C1880022|C0301630|G0000000|C0205177|C0450371
One limitation of the present study is that the sample size was relatively small.,limitation study sample size,C0449295|C0557651|C0370003|C0456389
"Armando Martnez-Avalos, MD 2 Department of Pediatric Oncology, Instituto Nacional de Pediatria, Mexico, DF Mexico",armando martnez-avalos md 2 department pediatric oncology instituto nacional de pediatria mexico df mexico,G0000000|G0000000|G0000000|G0000000|C1704729|C0030755|C0027651|G0000000|G0000000|C0011198|G0000000|C0025885|G0000000|C0025885
Left ventricular ejection fraction (EF) and systolic and diastolic diameters were calculated.,left ventricular ejection fraction ef systolic diastolic diameters calculated,C0205091|C0018827|C0302131|C1264633|G0000000|C0039155|C0012000|C1301886|C0444686
"The end points assessed in this study were time to resolution of inflammation with assessment of time for the ESR to drop to #30 mm/h, time to quiescence of disease activity (joint symptoms) assessed clinically, and the difference in the frequency and severity of cardiac disease at each evaluation time point.",assessed study time resolution inflammation assessment time esr drop #30 mm/h time quiescence disease activity joint symptoms assessed clinically difference frequency severity cardiac disease evaluation time,C1516048|C0557651|C0040223|C1514893|C0021368|C1261322|C0040223|C3811131|C1321095|C0450371|C0456680|C0040223|C3820816|C0012634|C0205177|C0022417|C0683368|C1516048|G0000000|C1705241|C0376249|C0439793|C0018787|C0012634|C0220825|C0040223
"The patient, family, and cardiologists were unaware of the nature of the infusion being administered.",patient family cardiologists unaware nature infusion administered,C0030705|C0015576|C0175906|C0150114|C0349590|C0574032|C1521801
Abbreviations and Acronyms  anthracycline  cardiomyopathy  chemotherapy  ejection fraction  left ventricle/ventricular,abbreviations acronyms anthracycline cardiomyopathy chemotherapy ejection fraction left ventricle/ventricular,C0000723|C1956259|C0003234|C0878544|C0013216|C0302131|C1264633|C0205091|C0018827
Twelve children (20%) had positive throat culture for Streptococcus pyogenes on admission.,twelve children 20% positive throat culture streptococcus pyogenes admission,C0205458|C0008059|C0450371|C0439178|C0031354|C0010453|C0038402|G0000000|C0184666
study and a written consent was obtained from each patient.,study written consent patient,C0557651|C0043266|C1511481|C0030705
All patients received 4 cycles of intra-arterial cisplatin 150 mg/m2/dose every 2 weeks and intravenous doxorubicin 75 mg/m2/dose every 4 weeks before surgery.,patients received 4 cycles intra-arterial cisplatin 150 mg/m2/dose 2 weeks intravenous doxorubicin 75 mg/m2/dose 4 weeks surgery,C0030705|C1514756|G0000000|C1511572|C0694634|C0008838|C1442061|C0026410|G0000000|C0439230|C0348016|C0013089|C0450371|C0026410|G0000000|C0439230|C0038894
Two children in the doxorubicin plus dexrazoxane  group had missing data for ethnic origin.,children doxorubicin dexrazoxane missing data ethnic origin,C0008059|C0013089|C0086444|C1551393|C1511726|C0015031|C0079946
DLCL = diffuse large cell lymphoma; IPI = International Prognostic Index.,dlcl = diffuse cell lymphoma ipi = international prognostic,G0000000|G0000000|C0205219|C0007634|C0024299|C1512894|G0000000|C1512888|C0220901
"Cardiac  troponin-T  was  assayed  in  a  central  laboratory  by  use  of  the  Elecsys  Troponin-T  STAT  Immunoassay  (Roche  Diagnostics,  Indianapolis,  IN,  USA),  which  has  sensitivity  of  001  ng/mL.32,38  Haemolysed  samples  were  excluded.",cardiac troponin-t assayed central laboratory elecsys troponin-t stat immunoassay roche diagnostics indianapolis usa sensitivity 001 ng/ml3238 haemolysed samples excluded,C0018787|C0077404|C0005507|C0205099|C0022877|G0000000|C0077404|C0205548|C0020980|C0331965|C0011900|G0000000|C0041703|C0020517|C1442061|C0028074|G0000000|C0370003|C1554077
"In the carvedilol group, 12.5 mg once-daily oral carvedilol (Dilatrend; Roche SpA, Segrate MI, Italy) was started before CT and maintained for 6 months during CT. All patients received CT at a mean of every 3 weeks.",carvedilol 125 once-daily oral carvedilol dilatrend roche spa segrate mi italy started ct maintained 6 months ct patients received ct 3 weeks,C0054836|C1442061|C0332173|C0442027|C0054836|C0591468|C0331965|C1420002|G0000000|C3810814|C0022277|C1272689|C0007673|C1314677|G0000000|C0439231|C0007673|C0030705|C1514756|C0007673|G0000000|C0439230
"induced  long-term  cardiotoxicity,24  protects  myocardial  mitochondria  from  genetic  and  functional  lesions,26  reduces  apoptosis,36  and  decreases  metabolic  remodelling.37 We aimed to establish the e ect of dexrazoxane on  echocardiographic  measurements  in  survivors  of  highrisk  childhood  ALL,  5  years  after  completion  of  doxorubicin treatment.",induced long-term cardiotoxicity24 protects myocardial mitochondria genetic functional lesions26 reduces apoptosis36 decreases metabolic remodelling37 aimed establish ect dexrazoxane echocardiographic measurements survivors highrisk childhood 5 completion doxorubicin treatment,C0205263|C0443252|G0000000|G0000000|C0027061|C0026237|C0017296|C0205245|G0000000|G0000000|G0000000|C0442797|C0311400|G0000000|C1947946|C0443211|C0013806|C0086444|C0013516|C0242485|C0206194|G0000000|C0231335|G0000000|C0205197|C0013089|C0039798
Characteristics and Clinical Findings,characteristics clinical findings,C1521970|C0205210|C2607943
"QT intervals were measured manually in all the 12 leads in blinded fashion from the onset of the QRS complex to the end of the T wave, as previously described in [11,12].",qt intervals measured manually 12 leads blinded fashion onset qrs complex wave 1112,C1552934|C1272706|C0444706|C3842330|C0450371|C0023175|C0150108|G0000000|C0206132|G0000000|C0439855|C0678544|G0000000
"Procedures  All patients received two doses of 30 mg/m doxorubicin  during remission induction, and eight further 30 mg/m",procedures patients received doses 30 mg/m doxorubicin remission induction 30 mg/m,C0025664|C0030705|C1514756|C0178602|C0450371|C0026410|C0013089|C0544452|C0205263|C0450371|C0026410
Proportions  were  compared  with Fishers exact test.,proportions compared fishers exact test,C1709707|C1707455|C0325045|C2828393|C0022885
"Throughout  follow-up,  the  mean  Z  score  for  left  ventricular  end-systolic  dimension  was  close  to  zero  in  the  doxorubicin  plus  dexrazoxane  group,  but  was  signi cantly greater than zero in the doxorubicin group  (table  2,   gure  3C).",follow-up score left ventricular end-systolic dimension close doxorubicin dexrazoxane signi cantly doxorubicin table 2 gure 3c,C0589120|C0449820|C0205091|C0018827|C0489485|C0439534|C0587267|C0013089|C0086444|G0000000|G0000000|C0013089|C0039224|G0000000|G0000000|C4053564
Three consecutive QT intervals were measured and averaged for each lead.,consecutive qt intervals measured averaged lead,C1707491|C1552934|C1272706|C0444706|C1510992|C0023175
It was not well tolerated due to emesis.,tolerated emesis,G0000000|C0042963
"In the largest study of this condition, coronary aneurysms were detected in 14 of 79 patients (18%) treated with aspirin compared with 3 of 79 (4%) treated with aspirin",largest study condition coronary aneurysms detected 14 79 patients 18% treated aspirin compared 3 79 4% treated aspirin,C0443228|C0557651|C0012634|C0018787|C0002940|C0442726|C0450371|C0450371|C0030705|C0450371|C1522326|C0004057|C1707455|G0000000|C0450371|G0000000|C1522326|C0004057
