"Peripheral arterial complication rates and delays to patient ambulation were significantly lower in the radial group than in the femoral group, whereas inhospital stay was similar between the two groups.",peripheral arterial complication rates delays patient ambulation lower radial femoral inhospital stay,C0205100|C0003842|C0009566|C0871208|C0205421|C0030705|C0080331|C0441994|C0442038|C0015811|C0019994|G0000000
"The primary end-point of the study was the absence of any recurrence of atrial arrhythmia lasting 30 s in the 1-year follow-up period, after 1-month blanking period.",primary end-point study absence recurrence atrial arrhythmia lasting 30 1-year follow-up period 1-month blanking period,C0205225|C2349179|C0557651|C0332197|C0034897|C0018792|C0003811|C1517741|C0450371|C0439234|C0589120|C0439531|C0332177|C0750479|C0439531
"Pre-specied secondary endpoints included cardiovascular death, individual components of the primary endpoint, and the safety endpoints of stroke, major bleeding, and contrast-induced nephropathy.",pre-specied secondary endpoints included cardiovascular death individual components primary endpoint safety endpoints stroke major bleeding contrast-induced nephropathy,C0332152|C0027627|C2349179|C0332257|C0007226|C0011065|C0027361|C0449432|C0205225|C2349179|C0036043|C2349179|C0038454|C0205082|C0019080|C0009924|C0022658
"Results: The primary patency rates at 6 months were 86.4% for the FUSION BIOLINE heparin-coated vascular graft group compared with 70.0% for the standard ePTFE group, a difference of 16.4% (95% condence interval, 2.7%-29.9%; P [ .006), and the respective rates at 12 months were 76.5% and 67.0% (95% condence interval, L4.8% to 23.0%; P [ .05).",primary patency rates 6 months 864% fusion bioline heparin-coated vascular graft compared 700% standard eptfe difference 164% 95% condence interval 27%-299% 006 respective rates 12 months 765% 670% 95% condence interval l48% 230% 05,C0205225|C0175566|C0871208|G0000000|C0439231|C1442061|C0332466|G0000000|C0019134|C0005847|C0181074|C1707455|C1442061|C1442989|G0000000|C1705241|C1442061|C0450371|G0000000|C1272706|C0450371|C1442061|G0000000|C0871208|C0450371|C0439231|C1442061|C1442061|C0450371|G0000000|C1272706|G0000000|C1442061|C0450371
No  signicant  within-group  difference  was  found  in heart  rate  between  the  baseline  phase  and  recovery  phase  through  repeated  heel  sticks  for Kangaroo  Mother  Care  group.,signicant within-group difference heart rate baseline phase recovery phase repeated heel sticks kangaroo mother care,G0000000|C0441833|C1705241|C0018787|C0871208|C0168634|C0205390|C0237820|C0205390|C0205341|C0018870|C1706582|C0022494|C0026591|C1947933
"The primary outcome was the occurrence of  death, myocardial infarction, stroke, or non-coronary  artery bypass graft (non-CABG)-related major bleeding  within 30 days.",primary outcome occurrence death myocardial infarction stroke non-coronary artery bypass graft non-cabg-related major bleeding 30 days,C0205225|C1274040|C0243132|C0011065|C0027061|C0021308|C0038454|C1518422|C0003842|C0741847|C0181074|C1518422|C0205082|C0019080|C0450371|C0439228
"Looking  at CI and CO at the beginning and the  end of the observation period, the levosimendan group initially had lower values compared with the milrinone group,  which increased to the end of the observation period, whereas the milrinone group  showed essentially the same values at the  beginning and at the end (Fig. 2).",ci observation period levosimendan initially lower values compared milrinone increased observation period milrinone essentially values fig 2,C0008107|C0302523|C0439531|C0246904|C0205265|C0441994|C0042295|C1707455|C0128513|C0205217|C0302523|C0439531|C0128513|G0000000|C0042295|C0349966|G0000000
"Mixed linear models show (mean, seM) (a) a time-related treatment effect on heart rate (beats per min) (P = 0.0213);  (b) a time-related, group-independent effect on diastolic blood pressure (mm Hg) (P = 0.0098); (c) a time-dependent increase in the cerebral tissue oxygenation index (%; P = 0.0439); and (d) cerebral intravascular oxygenation (mol/l; P = 0.0177); (e) a time-dependent decrease in cerebral fractional oxygen extraction (%; P = 0.0311); and (f) group-dependent differences in peripheral intravascular oxygenation (mol/l; P = 0.0195).",mixed linear models sem time-related treatment heart rate beats min = 00213 time-related group-independent diastolic blood pressure mm hg = 00098 time-dependent increase cerebral tissue oxygenation % = 00439 cerebral intravascular oxygenation mol/l = 00177 time-dependent decrease cerebral fractional oxygen extraction % = 00311 group-dependent differences peripheral intravascular oxygenation mol/l = 00195,C0205430|C0205132|C3161035|G0000000|C0040223|C0039798|C0018787|C0871208|G0000000|C0702093|G0000000|G0000000|C0040223|C0441833|C0012000|C0005767|C0033095|G0000000|C0025424|G0000000|G0000000|C0040223|C0442805|G0000000|C0040300|C0231940|G0000000|G0000000|G0000000|G0000000|C0442123|C0231940|C0347982|G0000000|G0000000|C0040223|C0392756|G0000000|C1264633|C0030054|C0185115|G0000000|G0000000|G0000000|C0441833|C1705241|C0205100|C0442123|C0231940|C0347982|G0000000|G0000000
"Key secondary endpoints were components  of the primary endpoint, occurrence of cardiac death, and  urgent  and  non-urgent  PCI  of  lesions  in  non-infarctrelated  arteries.",key secondary endpoints components primary endpoint occurrence cardiac death urgent non-urgent pci lesions non-infarctrelated arteries,G0000000|C0027627|C2349179|C0449432|C0205225|C2349179|C0243132|C0018787|C0011065|C0439609|C1518422|C4049621|C0221198|C1518422|C0003842
Nonpharmacologic analgesic measures were effective for the treatment of procedural pain in term infants.,nonpharmacologic analgesic measures effective treatment procedural pain term infants,G0000000|C0002771|C0079809|C1280519|C0039798|C0025664|C0030193|C0233324|C0021270
