sentences,label
n mean ( sd ),N
"differences treatment arms ranged 0 0 4 1 ( fact b ) , 1 0 4 0 ( fact g ) , 0 5 2 7 ( toi ) favor l arm",O
physical well ( 028 ),O
"evidence patients disease progression likely experience mid decline hrqol , sensitivity analysis time deterioration , including earliest disease progression last hrqol assessment mid event , conducted",P
lapatinib 1000 mg trastuzumab ( n 148 ) n,N
toi na median ( 95 ci ) b 25th75th percentileb hr ( 95 ci ) c p valuec,O
"analysis treated hrqol declines progression events conducted , similar results",P
"differences statistically signicant , except fact g week 12 ( delta 4 0 , p 0 037 )",I
table 3,N
148 143 79 55 32 26 14 8 132,P
20 0 ( 3 93 ) 20 1 ( 4 02 ) 20 2 ( 4 09 ) 20 6 ( 5 67 ) 22 2 ( 5 23 ),N
"yw bs serve consultants gsk addition pharmaceutical companies employer , research triangle institute health solutions",I
"since patients heavily pretreated progressed multiple therapies study egf104900 , important investigate additive therapy ( lapatinib plus trastuzumab ) compared lapatinib alone caused detrimental effects hrqol patient population metastatic disease",I
time deterioration ( weeks ) fact b toi scores breast cancer subscale,P
"comparisons fact b total score , fact g score , toi score , bcs terms change baseline revealed statistically signicant differences l arm l arm hrqol records collected crossover excluded analysis",O
total 296 patients equally randomized receive either oral lapatinib ( 1000 mg daily ) plus trastuzumab ( 4 mg kg v,N
"sensitivity analysis , hrqol records included patient withdrawal original randomized treatment",I
ce employees gsk hold stock gsk,I
showed similar pattern ( table 5 ),N
"( decline score 5 ) , n ( ) censored observations , n ( )",O
introduction,I
addition clinical benets delayed tumor,N
treatment administered disease progression withdrawal due unacceptable toxicity consent withdrawal,O
"details study methods efcacy safety results reported previously 21 , 22",P
differences two treatment arms time deterioration statistically signicant,P
phase iii trial ( egf104900 clinicaltrials gov,N
na na,O
methods hrqol assessed using functional assessment cancer therapybreast ( fact b ) questionnaire,O
patients measurable disease dened modied recist,N
"n , number patients whose overall item response rate 80 fact b total score , fact g score , toi score sd , standard deviation",I
"ci , condence interval na , applicable",O
consistent previous analysis,P
time hrqol deterioration,N
111 52 38 28 63,P
itt population study egf104900 included 296 patients ( 148 treatment arm ),I
available hrqol records collected scheduled discontinuation visits included analysis patients withdrew study,I
jos received honoraria gsk,I
explains higher hrqol scores l arm later visits sensitivity analyses,I
137 15 1 ( 12 325 3 ) 4 940 1 na na,O
aquality life data date crossover included analysis,N
results,P
