ADEPT 2001,
Methods,"Single-center, prospective DBRCT (double blind randomised control trial) conducted"
"","in Glasgow, UK"
"",Follow-up: 8 wks
"",Background ACEI? Yes
Participants,"N=36 patients ≥18 years of age with CHF, caused by IHD or nonischemic dilated"
"","cardiomyopathy, receiving ACEI therapy for ≥4 wks"
"",Mean age: 63.5 y
"",Females: 19.4%
"",NYHA Class: II-IV
"",LVEF: ≤35%
Interventions,Eprosartan 200 mg BID to target 400 mg BID (n=18)
"",Placebo (n=18)
Outcomes,Primary: LVEF
"",Secondary: haemodynamics; neurohormones
ARCH-J 2003,
Methods,"Multicenter, prospective DBRCT conducted in Japan"
"",Follow-up: 6 mos
"",Background ACEI? No
Participants,"N=305 patients ≥20 years of age with CHF due to previous MI, hypertensive heart"
"","disease, dilated cardiomyopathy or valvular disease"
"",N=292 patients included in full analysis
"",Mean age: 63.7 y
"",Females: 22.5%
"",NYHA Class: II-III
"",LVEF: ≤45%
Interventions,Candesartan 8 mg OD (n=155; n=148 included in full analysis)
"",Placebo (n=150; n=144 included in full analysis)
Outcomes,"Primary: Composite outcome, ’confirmed progression of CHF’, which included the"
"","following: 1) hospitalisation for management of CHF; or 2) addition of, or increase"
"","in, any medication(s) administered specifically for management of CHF in response to"
"",apparent aggravation of its manifestations
"","Secondary: occurrence of CV event, including progression of CHF, cardiac death, life-"
"","threatening arrhythmias, MI, coronary artery disease (defined as angina, coronary artery"
"","intervention or revascularization), stroke and transient Ischaemic attack"
CHARM-Added 2003,
Methods,"Multinational, multicenter, prospective DBRCT"
"",Follow-up: 3 y (mean); 41 mos (median)
"",Background ACEI? Yes
Participants,"N=2548 patients ≥18 years of age with symptomatic CHF, due to IHD (62.4%), id-"
"","iopathic (26.2%), hypertensive cause (6.5%), or other cause (4.9%), and treated with"
"",ACEI at constant dose for ≥30 days
"",Mean age: 64.1 y
"",Females: 21.3%
"",Race (white/black/other): 91%/5%/4%
"","NYHA Class: II-IV (if class II, patients had to have admission to hospital for cardiac"
"",reason in previous 6 mos
"",LVEF: ≤40%
Interventions,"Candesartan, target dose 32 mg OD (n=1276)"
"",Placebo (n=1272)
Outcomes,Primary: CV death or unplanned admission to hospital for management of worsening
"",CHF
"","Secondary: CV death, hospital admission for CHF, or non-fatal MI; CV death, hospital"
"","admission for CHF, non-fatal MI, or non-fatal stroke; CV death, hospital admission for"
"","CHF, non-fatal MI, non-fatal stroke, or coronary revascularization; all-cause mortality"
"",or hospital admission for CHF; development of new diabetes
CHARM-Alternative 2003,
Methods,"Multinational, multicenter, prospective DBRCT"
"",Follow-up: 33.7 mos (median)
"",Background ACEI? No
Participants,"N=2028 patients ≥18 years of age with symptomatic CHF, due to IHD (62.4%), idio-"
"","pathic (26.2%), hypertensive cause (6.5%), or other cause (4.9%), and who had intol-"
"",erance to ACEI
"",Mean age: 68.3 y
"",Females: 31.9%
"",Race (white/black/other): 88.6%/3.6%/7.8%
"",NYHA Class: II-IV
"",LVEF: ≤40%
Interventions,"Candesartan, target dose 32 mg OD (n=1013)"
"",Placebo (n=1015)
Outcomes,Primary: CV death or unplanned admission to hospital for management of worsening
"",CHF
"","Secondary: CV death, hospital admission for CHF, or non-fatal MI; CV death, hospital"
