CvLPRIT 2015,
Methods,RCT multi-centre.
"",Randomisation ratio: 1:1.
"",Number of study centres: 7 centres in the UK.
Participants,"Inclusion criteria: suspected or confirmed acute MI, significant ST elevation or LBBB"
"","on ECG (in cases of LBBB, angiographic confirmation of culprit coronary occlusion"
"","was required), < 12 hours of symptom onset, scheduled for P-PCI for clinical reasons,"
"","provision of verbal assent followed by written informed consent, MVD, the non-culprit"
"",vessel had to be a major (> 2 mm) epicardial coronary artery or branch (> 2 mm) and
"",be suitable for stent implantation
"","Exclusion criteria: any exclusion criteria for P-PCI; aged < 18 years; clear indication for,"
"","or contraindication to, multi-vessel P-PCI according to operator judgement; previous"
"","Q-wave MI; people with prior CABG, cardiogenic shock, ventricular septal defect, or"
"",moderate/severe mitral regurgitation; chronic kidney disease (Cr > 200 μmol/L or eGFR
"",< 30 mL/minute/1.73 m2); suspected or confirmed thrombosis of a previously stented
"",artery; where the only significant non-IRA lesion is a chronic total occlusion
"",Diagnostic criteria
"",MVD: culprit vessel plus at least 1 non-culprit coronary artery with at least 1 lesion
"",deemed angiographically significant
"",Significant stenosis: > 70% diameter stenosis in 1e plane or > 50% in 2 planes.
"",Sample size: complete revascularisation n = 150 and culprit-only revascularisation n =
"",146
Interventions,"Complete revascularisation: complete revascularisation at the same procedure, unless"
"","operator decided, for clinical reasons, that the procedure needed to be staged, in the cases"
"","of staged intervention, it was mandated that the non-culprit lesions be treated during"
"",the index admission
"",Culprit-only revascularisation: intervention on the culprit artery unless participant
"",needed revascularisation based on ischaemic symptoms or significant ischaemia evi-
"",denced in imaging tests
Outcomes,"Primary: composite of all-cause mortality, recurrent MI, heart failure, and ischaemia-"
"",driven revascularisation within 12 months after index procedure
"","Secondary: cardiovascular death, individual components of the primary endpoint,"
"","stroke, major bleeding, and contrast-induced nephropathy"
Dambrink and Ghani 2010,
Methods,RCT.
"",Randomisation ratio: 2:1.
"",Number of study centres: 1 centre in the Netherlands.
Participants,Inclusion criteria: MVD with successful P-PCI for STEMI.
"","Exclusion criteria: urgent indication for additional revascularisation, aged > 80 years,"
"","chronic occlusion of 1 of the non-culprit artery(ies), prior CABG, left main stenosis of"
"","≥ 50%, restenotic lesions in non-culprit artery(ies), chronic atrial fibrillation, limited"
"","life-expectancy, or other factors that made complete follow-up unlikely"
"",Diagnostic criteria
"",MVD: ≥ 1 significant stenosis in at least 2 major epicardial coronary arteries or the
"",combination of a side branch and a main epicardial vessel provided that they supplied
"",different territories
"",Significant stenosis: diameter ≥ 50% in luminal diameter in at least 1 view. FFR < 0.
"","75 defined ischaemic stenosis and those were intervened only, and > 90% stenosis were"
"",intervened without FFR measurement
"",Sample size: complete revascularisation n = 80 and culprit-only revascularisation n = 41
Interventions,Complete revascularisation: staged intervention on significant stenotic non-culprit
"","lesions compatible with ischaemia (FFR < 0.75) with plain angioplasty, BMS, or DES"
"",Culprit-only revascularisation: medical management after P-PCI of culprit artery only
"","unless ischaemic symptoms were elicited with exercise testing, dobutamine stress echocar-"
"","diography, or myocardial scintigraphy, in those cases ischaemia-guided revascularisation"
"",was performed
Outcomes,Primary: EF at 6 months.
"","Secondary: change in EF, wall motion score, left ventricle end-systolic and end-diastolic"
"","volume, and MACE"
DANAMI-3-PRIMULTI 2015,
Methods,RCT multi-centre.
"",Randomisation ratio: 1:1.
"",Number of study centres: 2 centres in Denmark.
Participants,Inclusion criteria: chest pain < 12 hours’ duration and ST elevation > 0.1 mV in at least
"",2 contiguous leads and with diameter stenosis of > 50% in ≥ non-culprit artery(ies)
"","Exclusion criteria: intolerance to contrast media, anticoagulant, antithrombotic drugs,"
