Bonacchi 2002,
Methods,Study design: prospective randomised controlled study
"",Duration: 2 years
"",No. of centres: single
"",Location: Italy
"",Setting: cardiac surgery centre
"",Withdrawals: none
"",Dates: January 1999 to July 2001
Participants,80 consecutive participants with aortic valve pathology undergoing elective aortic valve
"",replacement
"","Exclusion criteria: emergent surgery, concomitant coronary revascularisation, left ven-"
"",tricular ejection fraction < 25% or heavily calcified aorta
"",Demographics [limited / full sternotomy]
"",Number of participants: 80 [40/40]
"",Mean age (± SD): [62.6 ± 9.5 years / 64 ± 12.4 years]
"",Gender: not stated
"",Pathophysiology (AS:AR:mixed): [12:8:20 / 10:7:23]
"",Severity of disease (NYHA status): [2.7 ± 0.9 / 2.5 ± 0.7]
"",Mean risk score: not stated
"",Mean left ventricular ejection fraction: [57 ± 12 / 56 ± 13]
"",Diabetes mellitus: not stated
"",Preoperative lung function: not stated
"",Smoking status: not stated
Interventions,Limited sternotomy: reversed C- or reversed L-shaped sternal incision with < 10-cm
"",skin incision
"",Modifications from full sternotomy: none stated
Outcomes,Primary outcomes: not stated
"",Secondary outcomes: not stated
"","Other reported outcomes: in-hospital death, re-exploration for bleeding, mean medi-"
"","astinal drainage or bleeding > 800 mL, blood transfusion, atrial fibrillation, atelectasis,"
"","respiratory insufficiency, sternal wound infection, sternal instability, mechanical ventila-"
"","tion time, oxygen requirements (pre- and postextubation), pain scores (1 and 12 hours)"
"",", analgesia requirements, ICU stay, hospital stay, spirometry (5 days and 1 to 2 months)"
"",(follow-up time in parentheses)
Borger 2015,
Methods,Study design: prospective randomised controlled study
"",Duration: 9 months
"",No. of centres: 5 centres
"",Location: Germany
"",Setting: cardiac surgical centres
"","Withdrawals: 6 (5 in minimally invasive group, 1 in full sternotomy group)"
"",Dates: May 2012 to Feb 2013
Participants,100 participants with AS in 5 German centres.
"","Inclusion criteria: logistic EuroSCORE < 20, NYHA ≥ 2"
"","Exclusion criteria: pure AR, previous cardiac surgery, congenital true bicuspid valve"
"","(Sievers type 0), emergency surgery, left ventricular ejection fraction < 25%, recent"
"","myocardial infarction (≤ 90 days), or stroke or TIA ≤ 6 months"
"",Demographics [limited / full sternotomy]
"",Number of participants: 100 randomised [46 / 48]; 6 dropouts: 1 randomised to full
"",sternotomy withdrew; 5 randomised to minimally invasive surgery were unable to have
"",the procedure
"",Mean age (± SD): [73.0 ± 5.3 years / 74.2 ± 5.0 years]
"",Male gender: [27 (58.7%) / 21 (43.7%)]
"",Pathophysiology: AS with or without aortic insufficiency
"",Severity of disease (NYHA ≥ III): [31 (67.4%) / 29 (60.4%)]
"",Mean STS risk score: [1.6 ± 0.7 / 1.7 ± 0.6]
"",Mean left ventricular ejection fraction: not stated
"",Diabetes mellitus: [15 (32.6%) / 11 (22.9%)]
"",Preoperative COPD: [6 (13.0%) / 7 (14.9%)]
"",Smoking status: [22 (47.8%) / 12 (25.5%)]
Interventions,Limited sternotomy: upper hemi-sternotomy into 3rd or 4th intercostal space.
"",Modifications from full sternotomy: percutaneous femoral venous cannulation if right
"",atrial cannulation not possible. Use of rapid deployment aortic valve prosthesis - Ed-
"","wards Intuity valve (a stented, trileaflet bovine pericardial bioprosthesis with a balloon-"
"",expandable cloth covered skirt frame)
Outcomes,Primary outcomes: cross-clamp and CPB time
