Galetta 2005,
Methods,Method of randomisation not clear.
Participants,20 patients (median age 54 years (all < 60 years); 11 males and 9 females) with non-Hodgkin lymphoma (stage
"","2, 3 or 4, but number of patients with each stage in the different treatment groups nm) treated with epirubicin"
"","(cumulative dose nm; peak dose (i.e. maximal dose received in 1 week) 40 mg/m2 ; bolus infusion), cyclophosphamide,"
"","etoposide, prednisolone, vincristine, methotrexate, aracytin and bleomycin. No prior anthracyclines. No prior cardiac"
"",radiotherapy. No prior cardiac dysfunction
Interventions,Dexrazoxane (10:1 ratio of study drug to epirubicin; IV infusion over 15 minutes immediately after epirubicin) (n
"",= 10) versus no cardioprotective intervention (n = 10)
Outcomes,"Heart failure (subclinical heart failure defined as abnormalities in for example left ventricular diastolic diameter,"
"",posterior wall diastolic thickness and LVEF as measured by echocardiography; no further definitions were provided)
Gallegos-Castorena 2007
Methods Method of randomisation not clear.
Participants 28 children (mean age 11.6 years (range 7 to 15); 14 males and 14 females) with osteosarcoma (stage nm; in 5 patients
"metastatic disease) treated with doxorubicin (cumulative dose nm, but according to protocol patients should receive"
150 mg/m2; peak dose (i.e. maximal dose received in one week) 75 mg/m2; infusion duration nm) and intra-arterial
cisplatin. No prior anthracyclines. No prior cardiac radiotherapy. Prior cardiac dysfunction nm
Interventions Amifostine (740 mg/m2/dose (cumulative dose according to protocol 2960 mg/m2); IV infusion under sedation over
15 minutes immediately prior to each cisplatin dose) (n=15) versus no cardioprotective intervention (n=13)
Outcomes Heart failure (clinical heart failure and subclinical heart failure according to WHO criteria; it was stated that for the
"evaluated parameters they did not differ from the NCI system, i.e. grade 1-2 is subclinical)"
Response rate (complete/good remission defined as >90% necrosis after tumorectomy; partial remission defined as
60-90% necrosis after tumorectomy)
Adverse effects (according to WHO criteria; it was stated that for the evaluated parameters they did not differ from
the NCI system)
Kalay 2006,
Methods,Method of randomisation not clear.
Participants,"50 patients (age for all randomised patients nm: see notes; 43 females and 7 males) with breast cancer, lymphoma or"
"",other type of malignancy (stage nm) treated with therapy including adriamycin or epirubicin (cumulative dose for
"",all randomised patients nm: see notes; peak dose (i.e. maximal dose received in 1 week) nm; infusion duration nm).
"",No prior anthracyclines. No prior cardiac radiotherapy. No prior cardiac dysfunction
Interventions,Carvedilol (12.5 mg per os once daily) (n = 25) versus placebo (n = 25)
Outcomes,Heart failure (clinical heart failure defined as decompensated heart failure; subclinical heart failure defined as echocar-
"",diographic LVEF < 50%)
Notes,Length of follow up 6 months.
"",Mean age in intervention group 46.8 years and mean age in control group 49 years
"",Cumulative doxorubicin and epirubicin dose in intervention group: 525.3 mg/m2 and 787.9 mg/m2; cumulative
"",doxorubicin and epirubicin dose in control group: 513.6 mg/m2 and 770.4 mg/m2.
Lipshultz 2004,,,,,,,,,,,
Methods,Computer-generated randomisation,was,performed centrally,at,the,Quality,Assurance,Office,for,Clinical,Trials
"",(permuted block design with institutional balancing to ensure that a treatment imbalance within an institution was,,,,,,,,,,
"",no greater than 3 patients),,,,,,,,,,
Participants,206 children (age for all randomised,patients nm: see notes;,,120 boys and 86 girls) with,,,,high-risk ALL treated,,,
"",with multiagent chemotherapy (including,,doxorubicin: see notes),,and,CNS,irradiation.,No prior,,anthracycline,
"",therapy. No prior cardiac radiotherapy. Part of the patients were diagnosed with prior cardiac dysfunction (by either,,,,,,,,,,
"","echocardiography or the cardiac marker troponin T), but the exact number of patients was nm",,,,,,,,,,
Interventions,Dexrazoxane (10:1 ratio of study drug to doxorubicin; IV bolus up to 15 minutes immediately before doxorubicin),,,,,,,,,,
"",(n=105) versus no cardioprotective intervention (n=101),,,,,,,,,,
Outcomes,Heart failure (clinical heart failure defined as congestive heart failure or other symptomatic cardiac disease),,,,,,,,,,
"",Response rate (defined as the number of patients in complete remission; no definition of complete remission provided),,,,,,,,,,
"",Adverse effects (no definition provided).,,,,,,,,,,
Marty 2006,
Methods,"Randomisation was performed centrally using a permuted block design, which was stratified by center and thus by"
"",type of anthracycline used and dose of dexrazoxane (open label study)
Participants,164 patients (median age 52 years (range 30-76); all females) with advanced or metastatic breast cancer treated with
"",either epirubicin or doxorubicin (cumulative dose: see notes; peak dose (i.e. maximal dose received in 1 week) see
"",notes; infusion duration nm). Prior anthracycline therapy in both treatment groups (median cumulative dose similar
"",in both: dexrazoxane group: a median cumulative doxorubicin dose of 290 mg/m2 (range 30-650) in 46 patients
"",and a median cumulative epirubicin dose of 421 mg/m2 (range 231-599) in 42 patients; some patients were treated
"",with both doxorubicin and epirubicin; control group: a median cumulative doxorubicin dose of 243 mg/m2 (range
"",60-480) in 44 patients and a median cumulative epirubicin dose of 360 mg/m2 (range 94-599) in 38 patients; some
"",patients were treated with both doxorubicin and epirubicin). Prior cardiac radiotherapy was possible for 74 patients
"",randomised to dexrazoxane and 62 patients in the control group (dose nm). No prior cardiac dysfunction
Interventions,Dexrazoxane (20:1 ratio of study drug to doxorubicin and 10:1 ratio to epirubicin; IV infusion over 15 minutes 30
"",minutes prior to anthracycline infusion) (n=85) versus no cardioprotective intervention (n=79)
Outcomes,Heart failure (i.e. clinical heart failure defined as clinical signs of cardiac insufficiency (graded according to NYHA
"",criteria); subclinical heart failure defined as 1) a reduction in LVEF by 10% absolute percentage points or more as
"","measured by MUGA scan or 15% or more as measured by echocardiography, 2) a reduction in absolute LVEF as"
"",measured by echocardiography or MUGA scan to a value below 45%)
"",Response rate (according to WHO criteria).
"",Survival.
Schwartz 2009,
Methods,Method of randomisation not clear.
Participants,216 children (mean age 14 years (range 4-21); 140 males and 76 females) with intermediate or high risk Hodgkin
"","lymphoma (stage IB n=1, stage II n=81, stage III n=52, stage IV n=70, stage unknown n=12) treated with multiagent"
"",chemotherapy including doxorubicin (cumulative dose nm (according to protocol 180 mg/m2 for patients with rapid
"",early response and 300 mg/m2 for patients with slow early response; it was stated that there were virtually no dose
"",reductions); peak dose (i.e. maximal dose received in 1 week) 60 mg/m2; infusion duration nm). Patients received
"","21 Gy of radiotherapy to mantle if it involved Hodgkin lymphoma; pericardial infusions, lung disease or pericardial"
"",involvement were treated with 10.5 Gy (no further information provided). Prior anthracycline therapy nm. Prior
"",cardiac radiotherapy nm. Prior cardiac dysfunction nm
Interventions,Dexrazoxane (10:1 ratio of study drug to doxorubicin (see notes); IV infusion (infusion duration and timing in
"",relation with doxorubicin nm)) (n=107) versus no cardioprotective intervention (n=109)
Outcomes,Heart failure (i.e. clinical heart failure defined according to NCI-CTCv2.0 criteria)
"","Response rate (complete remission defined as disappearance of active disease (gallium negative, 70% or more decrease"
"",in the sum of the products of the perpendicular diameters of measurable lesions and negative bone marrow or bone
"",scan if initially positive)
"",Adverse effects (according to NCI-CTCv2.0 criteria).
Waldner 2006,
Methods,Method of randomisation not clear.
