B31,
Methods,"Accrual time: February 2000 to February 2005. Multicentre, national (USA)"
"",Baseline comparability: balanced
Participants,2043 females enrolled; 1736 with follow-up at February 2005 included in the analysis
"",Age: range from 22 to 80: 67.5% of patients were in the age range 40 to 59; 15% of
"",patients were ≥ 60 years old
"",• Diagnosis: adenocarcinoma of the breast spread to axillary-node
"",• Inclusion criteria: complete resection of the primary tumour and axillary-node
"","dissection. Adequate hematopoietic, hepatic and renal function, LVEF that met or"
"",exceeded the lower limit of normal. Tumours had to be strongly HER2-positive
"","(immunohistochemistry score of 3+, or positive by FISH); positivity must have been"
"",confirmed at central or reference laboratories
"","• Exclusion criteria: clinical or radiological evidence of metastatic disease, angina"
"","pectoris requiring antianginal medication, arrhythmia requiring medication, severe"
"","conduction abnormality, clinically significant valvular disease, cardiomegaly on chest"
"","radiography, left ventricular hypertrophy on echocardiography, poorly controlled"
"","hypertension, history of myocardial infarction, CHF, cardiomyopathy"
"",Note: 15% of patients had a tumour diameter larger than 4 cm; 14% had more than 10
"",nodes affected by the disease
"",HER2-positive: 100%
Interventions,Adjuvant setting
"",• Group 1 (randomised N = 1024; with follow-up N = 872): doxorubicin plus
"",cyclophosphamide (60 mg/sm and 600 mg/sm every 21 days for four cycles) followed
"","by paclitaxel (175 mg/sm, every 21 days, four cycles)"
"",• Group 2 (randomised N = 1019; with follow-up N = 864): doxorubicin plus
"","cyclophosphamide (60 mg/sm and 600 mg/sm every 21 days, four cycles) followed by"
"","paclitaxel (175 mg/sm, every 21 days, four cycles) plus trastuzumab (first loading dose"
"","of 4 mg/kg given with the first dose of paclitaxel, 51 further weekly doses of 2 mg/kg)"
"",• Other adjuvant treatments:
"",◦ radiotherapy in patients treated with lumpectomy (irradiation of the whole
"",breast with an optional boost to the tumour bed and without irradiation of the internal
"","mammary nodes), initiated after the completion of chemotherapy, without"
"",interruption of trastuzumab treatment;
"",◦ tamoxifene (20 mg/day for 5 years) in oestrogen-receptor positive and
"","progesterone-receptor positive patients, initiated on day 1 of the first cycle of"
"","doxorubicin and cyclophosphamide until an amendment on January 14, 2003,"
"",required hormonal therapy to be started after chemotherapy;
"",◦ anastrozole in postmenopausal patients with oestrogen-receptor positive
"","(ER+) or progesterone-receptor positive (PR+) tumours (permitted from January 14,"
"",2003)
"",It is not reported how many patients used these therapies in each arm of the trial
Outcomes,Primary: DFS
"","Secondary: OS, time to distant recurrence, death from breast cancer, contralateral breast"
"","cancer, other second primary cancers, adverse events"
BCIRG006,
Methods,Accrual time: April 2001 to March 2004
"","Multicentre, international"
"",Baseline comparability: balanced
Participants,N = 3222 female
"",Age: information about the age range of the patients not available; median age: 49 years
"",• Diagnosis: axillary node-positive or high risk node-negative breast cancer with
"",HER2-positive confirmed by central FISH
"",• Inclusion criteria: definitive surgery of the breast cancer (either mastectomy with
"","axillary lymph node involvement assessment, or breast conserving surgery with axillary"
"",lymph node involvement assessment); Karnofsky Performance status index > 80%;
"","normal cardiac, hepatic and renal function, normal values of the haemochrome;"
"",negative pregnancy test; normal audiology assessment
"",• Exclusion criteria: prior systemic anti-cancer therapy or radiation therapy for
"","breast cancer or prior anthracycline therapy, for any malignancy; bilateral invasive"
"",breast cancer; pregnancy; pre-existing motor or sensory neurotoxicity; any T4 or N2 or
"",known N3 or M1 breast cancer; cardiac diseases; other serious illness or medical
"","condition (neurologic or psychiatric disorders, dementia or seizures, uncontrolled"
"","infection, active peptic ulcer, unstable diabetes mellitus, impaired hearing); past or"
"",current history of neoplasm other than breast carcinoma (except for: curatively treated
"","non-melanoma skin cancer, in situ carcinoma of the cervix, other cancer curatively"
"",treated and with no evidence of disease for at least 10 years); current therapy with any
"","hormonal agent such as Raloxifene, Tamoxifen, or other selective ER modulators, with"
"","corticosteroids, with ovarian hormonal replacement therapy; definite contraindications"
"",for the use of corticosteroids; and concurrent treatment with other experimental drugs
"",or with any other anti-cancer therapy
"",Note: 6% of patients had a tumour diameter larger than 5 cm; 9% had more than 10
"",nodes affected by the disease
"",HER2-positive: 100%
Interventions,Adjuvant setting
"",• Arm A (AC→T) (N = 1073): doxorubicin plus cyclophosphamide (60mg/sm and
"","600mg/sm, every three weeks, four cycles) followed by docetaxel (100mg/sm, every"
"","three weeks, 4 cycles)"
"",• Arm B (AC→TH) (N = 1074): doxorubicin plus cyclophosphamide (60mg/sm
"","and 600mg/sm, every three weeks, four cycles) followed by docetaxel (100mg/sm,"
"","every three weeks, four cycles) plus trastuzumab (weekly, 52 cycles). Trastuzumab doses"
"",are not reported anywhere
"","• Arm C (TCH) (N = 1075): docetaxel plus carboplatin (75mg/sm and 75 mg/sm,"
"","every three weeks, six cycles) plus trastuzumab (weekly, 52 cycles). Trastuzumab doses"
"",are not reported anywhere
"",Other adjuvant therapies: hormonal therapy for five years after chemotherapy in patients
"",with hormone-receptor-positive tumours
Outcomes,Primary: DFS
"",Secondary: OS; adverse events; and QoL
Buzdar,
Methods,Accrual time: June 2001 to May 2003
"","Single-centre, national (US)"
"",Baseline comparability: the median age was slightly higher for the patients treated with
"",chemotherapy plus trastuzumab; one patient who had T3b disease was included in the
"",chemotherapy plus trastuzumab arm; two patients in the chemotherapy plus trastuzumab
"",arm had synchronous bilateral breast cancers
Participants,N = 42 female
"",Age: range from 25 to 75 years; median age: 48 years in chemotherapy arm and 52 in
"",chemotherapy plus trastuzumab arm
"","• Diagnosis: invasive, but non-inflammatory, carcinoma of the breast with stage II"
"",to IIIA disease
"","• Inclusion criteria: adequate bone marrow, liver and renal function. Each patient"
"",was reviewed in a multidisciplinary conference with designation of whether breast
"",conservation was a reasonable surgical option before treatment was initiated. HER2-
"",positivity had to be proven by an immunohistochemistry score 3 or FISH
"",• Exclusion criteria: history of uncompensated CHF or a cardiac ejection fraction
"",less than 45%
"",Note: 93% (one patient had a IIIb stage disease; two patients had a bilateral breast
"",cancer)
"",HER2-positive: all tumours were HER2-positive by FISH or showed 3+ overexpression
"",by immunohistochemistry
Interventions,Neoadjuvant setting
"","• Arm chemotherapy alone (N = 19): paclitaxel (225 mg/sm, every three weeks,"
"","four cycles) followed by FEC [fluorouracil (500 mg/sm, every three weeks on days 1"
"","and 4, four cycles), epirubicin and cyclophosphamide (75 mg/sm and 500 mg/sm,"
"","every three weeks on day 1, four cycles)]"
"","• Arm chemotherapy plus trastuzumab (N = 23): paclitaxel (225 mg/sm, every"
"","three weeks, four cycles) followed by FEC [fluorouracil (500 mg/sm, every three weeks"
"","on days 1 and 4, four cycles), epirubicin and cyclophosphamide (75 mg/sm and 500"
